,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),DVN,19169.0,19169.0,12206.0,4828.0,6220.0
Cost of revenue(figures in $M),DVN,10800.0,10800.0,8527.0,4436.0,5506.0
Gross profit(figures in $M),DVN,8369.0,8369.0,3679.0,392.0,714.0
Selling general and administrative(figures in $M),DVN,395.0,395.0,391.0,338.0,475.0
Total operating expenses(figures in $M),DVN,449.0,424.0,433.0,505.0,533.0
Operating income or loss(figures in $M),DVN,7920.0,7945.0,3246.0,-113.0,181.0
Interest expense(figures in $M),DVN,370.0,370.0,388.0,259.0,250.0
Total other income/expenses net(figures in $M),DVN,164.0,174.0,11.0,-2707.0,-40.0
Income before tax(figures in $M),DVN,7775.0,7775.0,2898.0,-3090.0,-109.0
Income tax expense(figures in $M),DVN,1738.0,1738.0,65.0,-547.0,-30.0
Income from continuing operations(figures in $M),DVN,6037.0,6037.0,2833.0,-2543.0,-79.0
Net income(figures in $M),DVN,6015.0,6015.0,2813.0,-2680.0,-355.0
Net income available to common shareholders(figures in $M),DVN,5958.0,6015.0,2813.0,-2680.0,-355.0
Basic EPS(figures in $M),DVN,,9.15e-06,4.2000000000000004e-06,-7.1200000000000004e-06,-8.900000000000001e-07
Diluted EPS(figures in $M),DVN,,9.119999999999999e-06,4.1900000000000005e-06,-7.1200000000000004e-06,-8.900000000000001e-07
Basic average shares(figures in $M),DVN,,657.25,663.0,377.0,407.0
Diluted average shares(figures in $M),DVN,,659.0,663.0,377.0,407.0
EBITDA(figures in $M),DVN,,10368.0,5444.0,-1531.0,1678.0
