,ticker,ttm,2022-11-30,2021-11-30,2020-11-30,2019-11-30
Total revenue(figures in $M),ADBE,17606.0,17606.0,15785.0,12868.0,11171.297
Cost of revenue(figures in $M),ADBE,2165.0,2165.0,1865.0,1722.0,1672.72
Gross profit(figures in $M),ADBE,15441.0,15441.0,13920.0,11146.0,9498.577
Research development(figures in $M),ADBE,2987.0,2987.0,2540.0,2188.0,1930.228
Selling general and administrative(figures in $M),ADBE,6187.0,6187.0,5406.0,4559.0,4124.984
Total operating expenses(figures in $M),ADBE,9343.0,9343.0,8118.0,6909.0,6230.456
Operating income or loss(figures in $M),ADBE,6098.0,6098.0,5802.0,4237.0,3268.121
Interest expense(figures in $M),ADBE,112.0,112.0,113.0,116.0,157.214
Total other income/expenses net(figures in $M),ADBE,-39.0,22.0,16.0,55.0,51.579
Income before tax(figures in $M),ADBE,6008.0,6008.0,5705.0,4176.0,3204.741
Income tax expense(figures in $M),ADBE,1252.0,1252.0,883.0,-1084.0,253.283
Income from continuing operations(figures in $M),ADBE,4756.0,4756.0,4822.0,5260.0,2951.458
Net income(figures in $M),ADBE,4756.0,4756.0,4822.0,5260.0,2951.458
Net income available to common shareholders(figures in $M),ADBE,4756.0,4756.0,4822.0,5260.0,2951.458
Basic EPS(figures in $M),ADBE,,1.0130000000000001e-05,1.01e-05,1.094e-05,6.07e-06
Diluted EPS(figures in $M),ADBE,,1.01e-05,1.0019999999999999e-05,1.083e-05,6e-06
Basic average shares(figures in $M),ADBE,,470.0,477.0,481.0,486.291
Diluted average shares(figures in $M),ADBE,,471.0,481.0,485.0,491.572
EBITDA(figures in $M),ADBE,,6976.0,6606.0,5049.0,3986.703
