,ticker,2023,2024,2025
Revenue(In $M),CAT,"64,305","65,598","68,212"
Dividend,CAT,4.91,5.24,5.60
Dividend Yield (in %),CAT,2.18 %,2.33 %,2.47 %
EPS,CAT,17.58,18.17,20.01
P/E Ratio,CAT,11.96,11.57,10.51
EBIT(In $M),CAT,"11,345","11,657","12,375"
EBITDA(In $M),CAT,"13,081","13,355","14,033"
Net Profit(In $M),CAT,"8,657","8,898","9,463"
Net Profit Adjusted(In $M),CAT,"8,971","9,088","9,824"
Pre-Tax Profit(In $M),CAT,"11,314","11,511","12,075"
Net Profit (Adjusted)(In $M),CAT,"11,249","11,580","12,471"
EPS (Non-GAAP) ex. SOE(In $),CAT,17.58,18.17,20.01
EPS (GAAP)(In $),CAT,16.53,18.16,20.27
Gross Income(In $M),CAT,"20,879","20,947","23,460"
Cash Flow from Investing(In $M),CAT,"-1,977","-1,769","-2,101"
Cash Flow from Operations(In $M),CAT,"9,444","10,158","10,595"
Cash Flow from Financing(In $M),CAT,"-4,962","-6,455","-5,980"
Cash Flow per Share(In $),CAT,19.29,21.06,21.31
Free Cash Flow(In $M),CAT,"7,231","8,114","8,858"
Free Cash Flow per Share(In $),CAT,13.16,16.20,19.47
Book Value per Share(In $),CAT,47.32,55.33,76.56
Net Debt(In $M),CAT,594,-802,-
Research & Development Exp.(In $M),CAT,"2,038","2,060","2,077"
Capital Expenditure(In $M),CAT,"1,619","1,501","1,565"
"Selling, General & Admin. Exp.(In $M)",CAT,"5,908","6,057","6,559"
Shareholder’s Equity(In $M),CAT,"18,456","21,121","27,774"
Total Assets(In $M),CAT,"64,526","66,927","81,265"
