,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),CAT,59427.0,59427.0,50971.0,41748.0,53800.0
Cost of revenue(figures in $M),CAT,41915.0,41915.0,35968.0,29671.0,37384.0
Gross profit(figures in $M),CAT,17512.0,17512.0,15003.0,12077.0,16416.0
Research development(figures in $M),CAT,1814.0,1814.0,1686.0,1415.0,1693.0
Selling general and administrative(figures in $M),CAT,5651.0,5651.0,5365.0,4642.0,5162.0
Total operating expenses(figures in $M),CAT,8683.0,8683.0,8125.0,7524.0,8126.0
Operating income or loss(figures in $M),CAT,8829.0,8829.0,6878.0,4553.0,8290.0
Interest expense(figures in $M),CAT,443.0,443.0,488.0,514.0,421.0
Total other income/expenses net(figures in $M),CAT,366.0,366.0,1814.0,-44.0,-57.0
Income before tax(figures in $M),CAT,8752.0,8752.0,8204.0,3995.0,7812.0
Income tax expense(figures in $M),CAT,2067.0,2067.0,1742.0,1006.0,1746.0
Income from continuing operations(figures in $M),CAT,6704.0,6704.0,6493.0,3003.0,6094.0
Net income(figures in $M),CAT,6705.0,6705.0,6489.0,2998.0,6093.0
Net income available to common shareholders(figures in $M),CAT,6705.0,6705.0,6489.0,2998.0,6093.0
Basic EPS(figures in $M),CAT,,,1.193e-05,5.51e-06,1.085e-05
Diluted EPS(figures in $M),CAT,,,1.183e-05,5.46e-06,1.074e-05
Basic average shares(figures in $M),CAT,,,544.0,544.1,561.6
Diluted average shares(figures in $M),CAT,,,548.5,548.6,567.5
EBITDA(figures in $M),CAT,,11414.0,11044.0,6941.0,10810.0
