,2016,2014,2013,2012,ticker
Current ratio,2.825,1.917,3.779,3.984,SNDK
Quick ratio,2.308,1.418,2.916,3.083,SNDK
Cash ratio,0.738,0.369,0.801,1.068,SNDK
Days of sales outstanding,40.547,46.397,40.393,33.635,SNDK
Days of inventory outstanding,89.313,71.569,83.662,76.826,SNDK
Operating cycle,129.860,117.965,124.055,110.460,SNDK
Days of payables outstanding,35.672,41.447,31.231,29.284,SNDK
Cash conversion cycle,94.188,76.518,92.824,81.176,SNDK
Gross profit margin,0.406,0.463,0.465,0.431,SNDK
Operating profit margin,0.111,0.235,0.253,0.270,SNDK
Pretax profit margin,0.071,0.132,0.130,0.219,SNDK
Net profit margin,0.070,0.152,0.169,0.174,SNDK
Effective tax rate,0.355,0.550,0.591,0.394,SNDK
Return on assets,0.042,0.098,0.099,0.097,SNDK
Return on equity,0.068,0.154,0.150,0.140,SNDK
Return on capital employed,0.085,0.192,0.169,0.168,SNDK
Net income per EBT,0.977,1.150,1.302,0.794,SNDK
Ebt per ebit,0.645,0.562,0.513,0.812,SNDK
Ebit per revenue,0.111,0.235,0.253,0.270,SNDK
Debt ratio,0.378,0.366,0.336,0.306,SNDK
Debt equity ratio,0.375,0.317,0.285,0.275,SNDK
Long term debt to capitalization,0.177,0.155,0.222,0.185,SNDK
Total debt to capitalization,0.273,0.241,0.222,0.216,SNDK
Interest coverage,41.240,103.973,448.782,0,SNDK
Cash flow to debt ratio,0.487,0.821,0.939,0.543,SNDK
Company equity multiplier,1.608,1.576,1.505,1.440,SNDK
Receivables turnover,9.002,7.867,9.036,10.852,SNDK
Payables turnover,10.232,8.806,11.687,12.464,SNDK
Inventory turnover,4.087,5.100,4.363,4.751,SNDK
Fixed asset turnover,6.810,9.150,9.408,16.417,SNDK
Asset turnover,0.603,0.644,0.588,0.556,SNDK
Operating cash flow per share,5.095,7.626,7.934,4.400,SNDK
Free cash flow per share,3.080,6.581,7.026,3.595,SNDK
Cash per share,19.500,10.168,12.371,11.896,SNDK
Payout ratio,0.486,0.233,0.097,0,SNDK
Operating cash flow sales ratio,0.188,0.256,0.302,0.186,SNDK
Free cash flow operating cash flow ratio,0.605,0.863,0.885,0.817,SNDK
Cash flow coverage ratios,0.487,0.821,0.939,0.543,SNDK
Short term coverage ratios,1.146,1.953,0,3.122,SNDK
Capital expenditure coverage ratio,-2.529,-7.296,-8.733,-5.463,SNDK
Dividend paid and capex coverage ratio,-4.654,954.721,-16.607,-5.463,SNDK
Dividend payout ratio,0.486,0.233,0.097,0,SNDK
Price book value ratio,2.719,3.428,2.362,1.668,SNDK
Price to book ratio,2.719,3.428,2.362,1.668,SNDK
Price to sales ratio,2.804,3.376,2.667,2.081,SNDK
Price earnings ratio,40.171,22.211,15.785,11.940,SNDK
Price to free cash flows ratio,24.659,15.267,9.973,13.689,SNDK
Price to operating cash flows ratio,14.909,13.174,8.831,11.184,SNDK
Price cash flow ratio,14.909,13.174,8.831,11.184,SNDK
Price earnings to growth ratio,-0.690,11.667,0.100,-0.491,SNDK
Price sales ratio,2.804,3.376,2.667,2.081,SNDK
Dividend yield,0.012,0.010,0.006,0,SNDK
Enterprise value multiple,13.964,11.350,8.801,7.162,SNDK
Price fair value,2.719,3.428,2.362,1.668,SNDK
