,ticker,2023,2024,2025,2026,2027
Revenue(In $M),CMS,-,-,"9,211","9,495","9,697"
Dividend,CMS,-,-,2.24,2.39,2.56
Dividend Yield (in %),CMS,3.27 %,3.49 %,3.73 %,4.03 %,4.06 %
EPS,CMS,-,-,3.62,3.88,4.19
P/E Ratio,CMS,19.88,18.42,16.93,15.81,14.64
EBIT(In $M),CMS,-,-,"1,787","2,093","2,263"
EBITDA(In $M),CMS,-,-,"3,089","3,337","3,538"
Net Profit(In $M),CMS,-,-,"1,075","1,168","1,274"
Net Profit Adjusted(In $M),CMS,-,-,"1,076","1,172","1,279"
Pre-Tax Profit(In $M),CMS,-,-,"1,241","1,297","1,416"
Net Profit (Adjusted)(In $M),CMS,"1,109","1,205","1,304",-,-
EPS (Non-GAAP) ex. SOE(In $),CMS,-,-,3.62,3.88,4.19
EPS (GAAP)(In $),CMS,-,-,3.61,3.86,4.13
Gross Income(In $M),CMS,"4,567","4,930","5,138",-,-
Cash Flow from Investing(In $M),CMS,"-3,134","-2,995","-3,095","-2,480","-2,480"
Cash Flow from Operations(In $M),CMS,"2,170","2,341","2,497","2,610","2,789"
Cash Flow from Financing(In $M),CMS,490,450,545,167,167
Cash Flow per Share(In $),CMS,-,-,8.25,8.86,9.33
Free Cash Flow(In $M),CMS,-181,-215,-331,-,-
Free Cash Flow per Share(In $),CMS,-3.74,-1.94,-2.54,-0.91,-0.01
Book Value per Share(In $),CMS,26.30,27.49,29.37,-,-
Net Debt(In $M),CMS,"15,437","16,496","17,595","19,304","19,671"
Research & Development Exp.(In $M),CMS,-,-,-,-,-
Capital Expenditure(In $M),CMS,"3,613","2,961","3,169","2,945","2,868"
"Selling, General & Admin. Exp.(In $M)",CMS,"1,719","1,894","1,894",-,-
Shareholder’s Equity(In $M),CMS,"7,597","7,968","8,668","9,848","10,795"
Total Assets(In $M),CMS,"33,245","35,093","37,110","39,991","41,838"
