,2022,2021,2020,2019,2018,ticker
Current ratio,1.840,1.442,1.533,1.571,0.941,CMS
Quick ratio,0.935,0.766,0.845,0.853,0.526,CMS
Cash ratio,0.088,0.248,0.107,0.094,0.058,CMS
Days of sales outstanding,67.089,46.963,63.219,60.042,65.162,CMS
Days of inventory outstanding,69.884,52.020,53.756,51.583,53.017,CMS
Operating cycle,136.974,98.984,116.975,111.625,118.178,CMS
Days of payables outstanding,58.060,69.100,63.275,54.140,59.787,CMS
Cash conversion cycle,78.914,29.883,53.700,57.485,58.392,CMS
Gross profit margin,0.321,0.361,0.415,0.375,0.349,CMS
Operating profit margin,0.034,0.029,0.060,0.052,0.169,CMS
Pretax profit margin,0.105,0.112,0.132,0.121,0.113,CMS
Net profit margin,0.097,0.099,0.113,0.099,0.096,CMS
Effective tax rate,0.103,0.115,0.150,0.177,0.149,CMS
Return on assets,0.027,0.025,0.025,0.025,0.027,CMS
Return on equity,0.119,0.110,0.137,0.136,0.138,CMS
Return on capital employed,0.010,0.008,0.014,0.014,0.053,CMS
Net income per EBT,0.928,0.885,0.853,0.820,0.849,CMS
Ebt per ebit,3.058,3.938,2.224,2.329,0.666,CMS
Ebit per revenue,0.034,0.029,0.060,0.052,0.169,CMS
Debt ratio,0.758,0.750,0.795,0.812,0.805,CMS
Debt equity ratio,2.199,1.939,3.039,2.883,2.477,CMS
Long term debt to capitalization,0.671,0.653,0.734,0.725,0.692,CMS
Total debt to capitalization,0.687,0.660,0.752,0.742,0.712,CMS
Interest coverage,0.568,0.418,0.709,0.686,2.537,CMS
Cash flow to debt ratio,0.055,0.141,0.076,0.124,0.145,CMS
Company equity multiplier,4.469,4.336,5.398,5.348,5.159,CMS
Receivables turnover,5.441,7.772,5.774,6.079,5.601,CMS
Payables turnover,6.287,5.282,5.768,6.742,6.105,CMS
Inventory turnover,5.223,7.016,6.790,7.076,6.885,CMS
Fixed asset turnover,0.378,0.328,0.318,0.362,0.379,CMS
Asset turnover,0.274,0.255,0.225,0.255,0.280,CMS
Operating cash flow per share,2.958,6.294,4.477,6.325,6.035,CMS
Free cash flow per share,-5.626,-1.349,-4.112,-1.576,-1.832,CMS
Cash per share,0.567,1.564,0.589,0.495,0.542,CMS
Payout ratio,0.652,0.699,0.619,0.641,0.619,CMS
Operating cash flow sales ratio,0.099,0.248,0.191,0.262,0.248,CMS
Free cash flow operating cash flow ratio,-1.902,-0.214,-0.918,-0.249,-0.304,CMS
Cash flow coverage ratios,0.055,0.141,0.076,0.124,0.145,CMS
Short term coverage ratios,0.764,4.762,0.847,1.467,1.558,CMS
Capital expenditure coverage ratio,-0.345,-0.823,-0.521,-0.801,-0.767,CMS
Dividend paid and capex coverage ratio,-0.442,-1.070,-0.644,-0.994,-0.939,CMS
Dividend payout ratio,0.652,0.699,0.619,0.641,0.619,CMS
Price book value ratio,2.609,2.835,3.164,3.544,2.947,CMS
Price to book ratio,2.609,2.835,3.164,3.544,2.947,CMS
Price to sales ratio,2.129,2.565,2.603,2.598,2.039,CMS
Price earnings ratio,21.867,25.823,23.030,26.153,21.326,CMS
Price to free cash flows ratio,-11.256,-48.204,-14.836,-39.874,-27.101,CMS
Price to operating cash flows ratio,21.406,10.335,13.627,9.935,8.227,CMS
Price cash flow ratio,21.406,10.335,13.627,9.935,8.227,CMS
Price earnings to growth ratio,1.621,-5.264,2.211,8.705,0.507,CMS
Price sales ratio,2.129,2.565,2.603,2.598,2.039,CMS
Dividend yield,0.030,0.027,0.027,0.025,0.029,CMS
Enterprise value multiple,22.834,23.297,22.418,22.916,11.852,CMS
Price fair value,2.609,2.835,3.164,3.544,2.947,CMS
