,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),CMS,164.0,452.0,168.0,140.0
Total cash(figures in $M),CMS,164.0,452.0,168.0,140.0
Net receivables(figures in $M),CMS,1564.0,943.0,882.0,903.0
Inventory(figures in $M),CMS,1117.0,667.0,576.0,605.0
Other current assets(figures in $M),CMS,3251.0,2132.0,2219.0,2174.0
Total current assets(figures in $M),CMS,3433.0,2627.0,2404.0,2331.0
"Gross property, plant and equipment(figures in $M)",CMS,31673.0,30854.0,28992.0,26286.0
Accumulated depreciation(figures in $M),CMS,-8960.0,-8502.0,-7953.0,-7360.0
"Net property, plant and equipment(figures in $M)",CMS,22713.0,22352.0,21039.0,18926.0
Equity and other investments(figures in $M),CMS,71.0,71.0,70.0,71.0
Other long-term assets(figures in $M),CMS,5207.0,3774.0,6223.0,5580.0
Total non-current assets(figures in $M),CMS,27920.0,26126.0,27262.0,24506.0
Total assets(figures in $M),CMS,31353.0,28753.0,29666.0,26837.0
Current debt(figures in $M),CMS,1119.0,382.0,1506.0,1220.0
Accounts payable(figures in $M),CMS,928.0,886.0,678.0,635.0
Accrued liabilities(figures in $M),CMS,122.0,119.0,126.0,139.0
Other current liabilities(figures in $M),CMS,270.0,1822.0,307.0,273.0
Total current liabilities(figures in $M),CMS,1866.0,1822.0,1568.0,1484.0
Long-term debt(figures in $M),CMS,14309.0,12474.0,15196.0,13247.0
Deferred tax liabilities(figures in $M),CMS,2536.0,2322.0,1978.0,1775.0
Other long-term liabilities(figures in $M),CMS,7583.0,7269.0,6825.0,7051.0
Total non-current liabilities(figures in $M),CMS,21892.0,19743.0,22021.0,20298.0
Total liabilities(figures in $M),CMS,23758.0,21565.0,23589.0,21782.0
Common stock(figures in $M),CMS,7015.0,6631.0,5496.0,5018.0
Retained earnings(figures in $M),CMS,1350.0,1057.0,214.0,-25.0
Accumulated other comprehensive income(figures in $M),CMS,-52.0,-59.0,-86.0,-73.0
Total stockholders' equity(figures in $M),CMS,7015.0,6631.0,5496.0,5018.0
Total liabilities and stockholders' equity(figures in $M),CMS,31353.0,28753.0,29666.0,26837.0
