,ticker,2023,2024,2025,2026
Revenue(In $M),IRM,"5,526","6,028","6,608","7,312"
Dividend,IRM,2.52,2.65,2.84,3.21
Dividend Yield (in %),IRM,4.82 %,5.08 %,5.44 %,6.15 %
EPS,IRM,1.62,1.85,2.20,2.44
P/E Ratio,IRM,34.06,29.78,25.13,22.63
EBIT(In $M),IRM,"1,129","1,250","1,391","1,572"
EBITDA(In $M),IRM,"1,958","2,155","2,381","2,593"
Net Profit(In $M),IRM,452,531,580,683
Net Profit Adjusted(In $M),IRM,457,531,581,674
Pre-Tax Profit(In $M),IRM,598,699,801,838
Net Profit (Adjusted)(In $M),IRM,667,756,-,-
EPS (Non-GAAP) ex. SOE(In $),IRM,1.62,1.85,2.20,2.44
EPS (GAAP)(In $),IRM,1.49,1.75,1.77,2.30
Gross Income(In $M),IRM,"3,142","3,477","3,801","4,163"
Cash Flow from Investing(In $M),IRM,-953,-995,"-1,110","-1,160"
Cash Flow from Operations(In $M),IRM,"1,097","1,198","1,392","1,541"
Cash Flow from Financing(In $M),IRM,-122,-180,-264,-291
Cash Flow per Share(In $),IRM,3.50,3.74,-,-
Free Cash Flow(In $M),IRM,264,305,290,381
Free Cash Flow per Share(In $),IRM,-,-,-,-
Book Value per Share(In $),IRM,1.06,-0.02,-1.17,-1.94
Net Debt(In $M),IRM,"9,316","9,605","8,577",-393
Research & Development Exp.(In $M),IRM,-,-,-,-
Capital Expenditure(In $M),IRM,964,"1,061","1,200","1,250"
"Selling, General & Admin. Exp.(In $M)",IRM,"1,249","1,375","1,533","1,677"
Shareholder’s Equity(In $M),IRM,450,890,851,-581
Total Assets(In $M),IRM,"16,389","16,673","17,596","18,182"
