,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),PWR,17073.903,17073.903,12980.213,11202.672,12112.153
Cost of revenue(figures in $M),PWR,14544.748,14544.748,11026.954,9541.825,10511.901
Gross profit(figures in $M),PWR,2529.155,2529.155,1953.259,1660.847,1600.252
Selling general and administrative(figures in $M),PWR,1336.711,1336.711,1155.956,975.074,955.991
Total operating expenses(figures in $M),PWR,1690.684,1690.684,1321.322,1051.778,1018.082
Operating income or loss(figures in $M),PWR,838.471,838.471,631.937,609.069,582.17
Interest expense(figures in $M),PWR,124.363,124.363,68.899,45.013,66.89
Total other income/expenses net(figures in $M),PWR,-12.828,-12.828,56.669,4.841,56.08
Income before tax(figures in $M),PWR,703.886,703.886,622.901,571.346,572.287
Income tax expense(figures in $M),PWR,192.243,192.243,130.918,119.387,165.472
Income from continuing operations(figures in $M),PWR,511.643,511.643,491.983,451.959,406.815
Net income(figures in $M),PWR,491.189,491.189,485.956,445.596,402.044
Net income available to common shareholders(figures in $M),PWR,491.189,491.189,485.956,445.596,402.044
Basic EPS(figures in $M),PWR,,,3.45e-06,3.15e-06,2.76e-06
Diluted EPS(figures in $M),PWR,,,3.3399999999999998e-06,3.07e-06,2.73e-06
Basic average shares(figures in $M),PWR,,,140.824,141.38,145.71
Diluted average shares(figures in $M),PWR,,,145.373,145.247,147.534
EBITDA(figures in $M),PWR,,1182.222,857.166,693.063,701.268
