,ticker,2023,2024,2025,2026,2027
Revenue(In $M),MAR,"23,435","24,412","26,096","25,565","27,256"
Dividend,MAR,1.64,1.94,2.14,2.59,3.30
Dividend Yield (in %),MAR,1.02 %,1.28 %,1.41 %,2.67 %,3.04 %
EPS,MAR,8.15,8.99,10.19,11.22,16.96
P/E Ratio,MAR,21.90,19.86,17.52,15.92,10.53
EBIT(In $M),MAR,"3,767","3,972","4,313","4,577","5,800"
EBITDA(In $M),MAR,"4,405","4,628","4,966","5,249","6,467"
Net Profit(In $M),MAR,"2,460","2,601","2,866","3,056","3,226"
Net Profit Adjusted(In $M),MAR,"2,467","2,606","2,845","3,056","3,226"
Pre-Tax Profit(In $M),MAR,"3,254","3,423","3,768","4,019","5,106"
Net Profit (Adjusted)(In $M),MAR,"3,265","3,310","3,901",-,-
EPS (Non-GAAP) ex. SOE(In $),MAR,8.15,8.99,10.19,11.22,16.96
EPS (GAAP)(In $),MAR,8.25,8.91,10.60,-,-
Gross Income(In $M),MAR,"11,656","12,085","20,340",-,-
Cash Flow from Investing(In $M),MAR,-285,-144,-140,-,-
Cash Flow from Operations(In $M),MAR,"2,925","2,958","4,099",-,-
Cash Flow from Financing(In $M),MAR,"-3,130","-3,340",-,-,-
Cash Flow per Share(In $),MAR,7.66,7.60,-,-,-
Free Cash Flow(In $M),MAR,"2,590","2,768","1,965","2,992","4,077"
Free Cash Flow per Share(In $),MAR,9.34,10.06,-,-,-
Book Value per Share(In $),MAR,-1.86,-3.90,0.97,-,-
Net Debt(In $M),MAR,"11,085","11,598","11,309","13,971","14,379"
Research & Development Exp.(In $M),MAR,-,-,-,-,-
Capital Expenditure(In $M),MAR,632,466,717,775,820
"Selling, General & Admin. Exp.(In $M)",MAR,-,-,-,-,-
Shareholder’s Equity(In $M),MAR,-519,-980,711,"-2,210","-2,815"
Total Assets(In $M),MAR,"22,534","23,062","26,744","27,434","28,112"
