,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),ABT,9882.0,9799.0,6838.0,3860.0
Other short-term investments(figures in $M),ABT,288.0,450.0,310.0,280.0
Total cash(figures in $M),ABT,10170.0,10249.0,7148.0,4140.0
Net receivables(figures in $M),ABT,6218.0,6487.0,6414.0,5425.0
Inventory(figures in $M),ABT,6173.0,5157.0,5012.0,4316.0
Total current assets(figures in $M),ABT,25224.0,24239.0,20441.0,15667.0
"Gross property, plant and equipment(figures in $M)",ABT,20212.0,19364.0,18793.0,16799.0
Accumulated depreciation(figures in $M),ABT,-11050.0,-10405.0,-9764.0,-8761.0
"Net property, plant and equipment(figures in $M)",ABT,9162.0,8959.0,9029.0,8038.0
Equity and other investments(figures in $M),ABT,766.0,816.0,821.0,883.0
Goodwill(figures in $M),ABT,22799.0,23231.0,23744.0,23195.0
Intangible assets(figures in $M),ABT,10454.0,12739.0,14784.0,17025.0
Total non-current assets(figures in $M),ABT,49214.0,50957.0,52107.0,52220.0
Total assets(figures in $M),ABT,74438.0,75196.0,72548.0,67887.0
Current debt(figures in $M),ABT,2251.0,754.0,220.0,1478.0
Accounts payable(figures in $M),ABT,4607.0,4408.0,3946.0,3252.0
Taxes payable(figures in $M),ABT,343.0,306.0,362.0,226.0
Accrued liabilities(figures in $M),ABT,6763.0,6442.0,6265.0,5060.0
Total current liabilities(figures in $M),ABT,15489.0,13105.0,11907.0,10863.0
Long-term debt(figures in $M),ABT,14522.0,17296.0,18527.0,16661.0
Deferred tax liabilities(figures in $M),ABT,991.0,1392.0,1406.0,1546.0
Other long-term liabilities(figures in $M),ABT,3804.0,3685.0,3684.0,3944.0
Total non-current liabilities(figures in $M),ABT,22044.0,26067.0,27638.0,25723.0
Total liabilities(figures in $M),ABT,37533.0,39172.0,39545.0,36586.0
Common stock(figures in $M),ABT,24709.0,24470.0,24145.0,23853.0
Retained earnings(figures in $M),ABT,35257.0,31528.0,27627.0,25847.0
Accumulated other comprehensive income(figures in $M),ABT,-8051.0,-8374.0,-8946.0,-8465.0
Total stockholders' equity(figures in $M),ABT,36686.0,35802.0,32784.0,31088.0
Total liabilities and stockholders' equity(figures in $M),ABT,74438.0,75196.0,72548.0,67887.0
