,ticker,2023,2024,2025,2026,2027
Revenue(In $M),ABT,"39,616","41,450","44,399","47,817","50,310"
Dividend,ABT,1.96,2.07,2.22,2.61,-
Dividend Yield (in %),ABT,1.99 %,2.12 %,2.44 %,2.57 %,-
EPS,ABT,4.40,4.62,5.19,5.69,6.14
P/E Ratio,ABT,25.42,24.21,21.55,19.68,18.23
EBIT(In $M),ABT,"8,794","9,296","10,385","11,302","12,284"
EBITDA(In $M),ABT,"10,171","11,225","12,315","13,484","16,252"
Net Profit(In $M),ABT,"7,712","8,055","8,980","9,924","10,672"
Net Profit Adjusted(In $M),ABT,"7,712","8,055","8,980","9,924","10,672"
Pre-Tax Profit(In $M),ABT,"8,964","9,376","10,467","11,387","12,409"
Net Profit (Adjusted)(In $M),ABT,"6,781","7,454","8,792","11,255",-
EPS (Non-GAAP) ex. SOE(In $),ABT,4.39,4.50,4.92,6.20,-
EPS (GAAP)(In $),ABT,3.35,3.62,4.23,5.12,-
Gross Income(In $M),ABT,"22,249","23,476","25,290","26,970","28,980"
Cash Flow from Investing(In $M),ABT,"-1,649","-1,806","-1,932","-2,702","-2,896"
Cash Flow from Operations(In $M),ABT,"10,523","10,357","10,640","12,664","13,979"
Cash Flow from Financing(In $M),ABT,"-4,800","-5,129","-5,865","-4,816","-5,298"
Cash Flow per Share(In $),ABT,5.94,5.93,6.39,-,-
Free Cash Flow(In $M),ABT,"9,410","8,856","9,288","10,262","11,338"
Free Cash Flow per Share(In $),ABT,4.98,5.10,5.25,5.82,6.46
Book Value per Share(In $),ABT,22.66,23.52,24.64,-,-
Net Debt(In $M),ABT,"2,412",-665,"-1,947","-15,630",-
Research & Development Exp.(In $M),ABT,"2,513","2,642","2,799","2,925","3,206"
Capital Expenditure(In $M),ABT,"1,718","1,837","1,918","2,284","2,641"
"Selling, General & Admin. Exp.(In $M)",ABT,"10,937","11,453","12,074","12,756","13,491"
Shareholder’s Equity(In $M),ABT,"40,299","42,525","44,355","59,357","66,612"
Total Assets(In $M),ABT,"77,406","79,956","81,503","97,735","105,142"
