,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),6933.0,6933.0,7071.0,4495.0,3687.0,ABT
Depreciation & amortisation(figures in $M),3267.0,3267.0,3538.0,3327.0,3014.0,ABT
Stock-based compensation(figures in $M),685.0,685.0,640.0,546.0,519.0,ABT
Change in working capital(figures in $M),-1519.0,-1519.0,-771.0,-892.0,-1331.0,ABT
Accounts receivable(figures in $M),-68.0,-68.0,-383.0,-924.0,-275.0,ABT
Inventory(figures in $M),-1413.0,-1413.0,-456.0,-493.0,-593.0,ABT
Accounts payable(figures in $M),420.0,420.0,1288.0,1766.0,220.0,ABT
Other working capital(figures in $M),7804.0,7804.0,8648.0,5724.0,4498.0,ABT
Net cash provided by operating activities(figures in $M),9581.0,9581.0,10533.0,7901.0,6136.0,ABT
"Investments in property, plant and equipment(figures in $M)",-1777.0,-1777.0,-1885.0,-2177.0,-1638.0,ABT
"Acquisitions, net(figures in $M)",0.0,0.0,-187.0,-42.0,-170.0,ABT
Purchases of investments(figures in $M),-185.0,-185.0,-173.0,-83.0,-103.0,ABT
Sales/maturities of investments(figures in $M),152.0,152.0,77.0,10.0,21.0,ABT
Other investing activities(figures in $M),22.0,22.0,26.0,19.0,27.0,ABT
Net cash used for investing activities(figures in $M),-1740.0,-1740.0,-2008.0,-2215.0,-1815.0,ABT
Debt repayment(figures in $M),-753.0,-753.0,-48.0,-1333.0,-3441.0,ABT
Common stock repurchased(figures in $M),-3795.0,-3795.0,-2299.0,-403.0,-718.0,ABT
Dividends paid(figures in $M),-3309.0,-3309.0,-3202.0,-2560.0,-2270.0,ABT
Other financing activities(figures in $M),0.0,0.0,0.0,-11.0,0.0,ABT
Net cash used provided by (used for) financing activities(figures in $M),-7636.0,-7636.0,-5494.0,-2779.0,-4289.0,ABT
Net change in cash(figures in $M),83.0,83.0,2961.0,2978.0,16.0,ABT
Cash at beginning of period(figures in $M),9799.0,9799.0,6838.0,3860.0,3844.0,ABT
Cash at end of period(figures in $M),9882.0,9882.0,9799.0,6838.0,3860.0,ABT
Operating cash flow(figures in $M),9581.0,9581.0,10533.0,7901.0,6136.0,ABT
Capital expenditure(figures in $M),-1777.0,-1777.0,-1885.0,-2177.0,-1638.0,ABT
Free cash flow(figures in $M),7804.0,7804.0,8648.0,5724.0,4498.0,ABT
