,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),PPL,7902.0,7902.0,5783.0,7607.0,7769.0
Cost of revenue(figures in $M),PPL,5015.0,5015.0,3070.0,3210.0,3417.0
Gross profit(figures in $M),PPL,2887.0,2887.0,2713.0,4397.0,4352.0
Total operating expenses(figures in $M),PPL,1513.0,1513.0,1289.0,1594.0,1512.0
Operating income or loss(figures in $M),PPL,1374.0,1374.0,1424.0,2803.0,2840.0
Interest expense(figures in $M),PPL,513.0,513.0,918.0,1001.0,994.0
Total other income/expenses net(figures in $M),PPL,50.0,54.0,15.0,169.0,309.0
Income before tax(figures in $M),PPL,915.0,915.0,521.0,1971.0,2155.0
Income tax expense(figures in $M),PPL,201.0,201.0,503.0,502.0,409.0
Income from continuing operations(figures in $M),PPL,714.0,714.0,18.0,1469.0,1746.0
Net income(figures in $M),PPL,756.0,756.0,-1480.0,1469.0,1746.0
Net income available to common shareholders(figures in $M),PPL,755.0,756.0,-1480.0,1469.0,1746.0
Basic EPS(figures in $M),PPL,,1.03e-06,-1.9299999999999997e-06,1.91e-06,2.39e-06
Diluted EPS(figures in $M),PPL,,1.02e-06,-1.9299999999999997e-06,1.91e-06,2.37e-06
Basic average shares(figures in $M),PPL,,736.027,762.902,768.59,728.512
Diluted average shares(figures in $M),PPL,,736.902,764.819,769.384,736.754
EBITDA(figures in $M),PPL,,2661.0,2560.0,4331.0,4429.0
