,ticker,2023,2024,2025,2026,2027
Revenue(In $M),PPL,"7,855","8,028","8,412","8,485","9,179"
Dividend,PPL,0.96,1.03,1.10,1.17,1.25
Dividend Yield (in %),PPL,3.56 %,3.81 %,4.05 %,4.32 %,4.68 %
EPS,PPL,1.59,1.70,1.82,1.96,2.08
P/E Ratio,PPL,17.92,16.75,15.68,14.59,13.70
EBIT(In $M),PPL,"2,012","2,138","2,303","2,511","2,709"
EBITDA(In $M),PPL,"3,254","3,432","3,699","3,993","4,298"
Net Profit(In $M),PPL,"1,163","1,240","1,345","1,449","1,545"
Net Profit Adjusted(In $M),PPL,"1,181","1,265","1,345","1,449","1,545"
Pre-Tax Profit(In $M),PPL,"1,448","1,540","1,660","1,806","1,933"
Net Profit (Adjusted)(In $M),PPL,"1,465","1,567",-,-,-
EPS (Non-GAAP) ex. SOE(In $),PPL,1.59,1.70,1.82,1.96,2.08
EPS (GAAP)(In $),PPL,1.54,1.63,1.82,1.98,2.12
Gross Income(In $M),PPL,-,-,-,-,-
Cash Flow from Investing(In $M),PPL,"-2,250","-2,500","-3,300","-3,550","-3,200"
Cash Flow from Operations(In $M),PPL,"3,217","3,254","3,509","3,373","2,888"
Cash Flow from Financing(In $M),PPL,-293,164,544,980,204
Cash Flow per Share(In $),PPL,3.38,3.60,3.59,-,-
Free Cash Flow(In $M),PPL,134,-180,-726,-921,-
Free Cash Flow per Share(In $),PPL,-,-,-,-,-
Book Value per Share(In $),PPL,19.51,20.17,20.85,-,-
Net Debt(In $M),PPL,"14,396","15,069","16,068",-,-
Research & Development Exp.(In $M),PPL,-,-,-,-,-
Capital Expenditure(In $M),PPL,"2,269","2,519","3,184","3,425","3,425"
"Selling, General & Admin. Exp.(In $M)",PPL,-,-,-,-,-
Shareholder’s Equity(In $M),PPL,"13,634","14,319","15,044","16,826","15,477"
Total Assets(In $M),PPL,"39,104","40,378","42,448","44,443","44,704"
