,ticker,2023,2024,2025
Revenue(In $M),FISV,"17,996","19,330","20,622"
Dividend,FISV,0.00,0.00,0.00
Dividend Yield (in %),FISV,-,-,-
EPS,FISV,7.37,8.39,9.60
P/E Ratio,FISV,16.22,14.23,12.44
EBIT(In $M),FISV,"6,539","7,183","7,836"
EBITDA(In $M),FISV,"7,906","8,585","9,514"
Net Profit(In $M),FISV,"4,573","5,043","5,547"
Net Profit Adjusted(In $M),FISV,"4,573","5,043","5,547"
Pre-Tax Profit(In $M),FISV,"3,726","4,422","5,058"
Net Profit (Adjusted)(In $M),FISV,"3,745","4,432","5,093"
EPS (Non-GAAP) ex. SOE(In $),FISV,7.37,8.39,9.60
EPS (GAAP)(In $),FISV,4.76,5.80,6.63
Gross Income(In $M),FISV,"10,029","10,782","11,686"
Cash Flow from Investing(In $M),FISV,"-1,639","-1,808","-1,962"
Cash Flow from Operations(In $M),FISV,"5,677","6,947","7,160"
Cash Flow from Financing(In $M),FISV,"-3,229","-2,245","-3,411"
Cash Flow per Share(In $),FISV,8.91,10.56,16.25
Free Cash Flow(In $M),FISV,"3,878","4,581","5,080"
Free Cash Flow per Share(In $),FISV,5.91,7.65,9.32
Book Value per Share(In $),FISV,52.68,56.90,62.23
Net Debt(In $M),FISV,"15,063","13,233","14,505"
Research & Development Exp.(In $M),FISV,-,-,-
Capital Expenditure(In $M),FISV,"1,555","1,644","1,697"
"Selling, General & Admin. Exp.(In $M)",FISV,"6,021","5,831","5,817"
Shareholder’s Equity(In $M),FISV,"32,379","34,556","37,692"
Total Assets(In $M),FISV,"78,123","80,966","82,376"
