,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),776.911,776.911,1332.85,913.636,970.377,EQR
Depreciation & amortisation(figures in $M),894.325,894.325,851.384,832.443,842.776,EQR
Stock-based compensation(figures in $M),29.513,29.513,27.81,23.174,24.449,EQR
Change in working capital(figures in $M),-4.692,-4.692,29.726,-74.044,29.541,EQR
Accounts payable(figures in $M),-0.266,-0.266,15.381,0.47,5.116,EQR
Other working capital(figures in $M),1222.515,1222.515,1091.537,1099.292,1266.722,EQR
Other non-cash items(figures in $M),13.733,13.733,14.039,15.975,23.163,EQR
Net cash provided by operating activities(figures in $M),1454.756,1454.756,1260.184,1265.536,1456.984,EQR
"Investments in property, plant and equipment(figures in $M)",-232.241,-232.241,-168.647,-166.244,-190.262,EQR
"Acquisitions, net(figures in $M)",-159.701,-159.701,-79.791,-5.775,-9.604,EQR
Purchases of investments(figures in $M),-2.061,-2.061,-168.291,-0.773,-0.269,EQR
Sales/maturities of investments(figures in $M),3.584,3.584,191.398,0.0,0.0,EQR
Net cash used for investing activities(figures in $M),107.792,107.792,-434.62,663.586,-771.824,EQR
Debt repayment(figures in $M),-7013.474,-7013.474,-7864.645,-10842.281,-23270.713,EQR
Common stock issued(figures in $M),139.623,139.623,0.0,0.0,0.0,EQR
Dividends paid(figures in $M),-934.101,-934.101,-903.558,-887.028,-834.201,EQR
Other financing activities(figures in $M),-91.044,-91.044,-42.661,-74.068,-105.5,EQR
Net cash used provided by (used for) financing activities(figures in $M),-1785.612,-1785.612,-565.056,-1946.393,-684.474,EQR
Net change in cash(figures in $M),-223.064,-223.064,260.508,-17.271,0.686,EQR
Cash at beginning of period(figures in $M),360.236,360.236,99.728,116.999,116.313,EQR
Cash at end of period(figures in $M),137.172,137.172,360.236,99.728,116.999,EQR
Operating cash flow(figures in $M),1454.756,1454.756,1260.184,1265.536,1456.984,EQR
Capital expenditure(figures in $M),-232.241,-232.241,-168.647,-166.244,-190.262,EQR
Free cash flow(figures in $M),1222.515,1222.515,1091.537,1099.292,1266.722,EQR
