,ticker,2023,2024,2025,2026,2027
Revenue(In $M),EQR,"2,864","2,959","2,941","3,199","3,275"
Dividend,EQR,2.60,2.66,2.69,-,-
Dividend Yield (in %),EQR,4.33 %,4.44 %,4.11 %,4.10 %,-
EPS,EQR,1.60,1.68,1.88,-,-
P/E Ratio,EQR,39.03,37.02,33.03,-,-
EBIT(In $M),EQR,908,968,"1,051","1,181","1,235"
EBITDA(In $M),EQR,"1,764","1,837","1,917",-,-
Net Profit(In $M),EQR,621,655,728,787,812
Net Profit Adjusted(In $M),EQR,608,669,748,823,849
Pre-Tax Profit(In $M),EQR,627,680,760,831,857
Net Profit (Adjusted)(In $M),EQR,652,703,758,-,-
EPS (Non-GAAP) ex. SOE(In $),EQR,1.45,1.69,1.94,-,-
EPS (GAAP)(In $),EQR,1.60,1.68,1.88,-,-
Gross Income(In $M),EQR,"1,851","1,924","2,025","2,166","2,244"
Cash Flow from Investing(In $M),EQR,-,-,-,-,-
Cash Flow from Operations(In $M),EQR,"1,632","1,705","1,615",-,-
Cash Flow from Financing(In $M),EQR,-,-,-,-,-
Cash Flow per Share(In $),EQR,3.89,4.07,4.60,-,-
Free Cash Flow(In $M),EQR,"1,652","1,737","1,712",-,-
Free Cash Flow per Share(In $),EQR,-,-,-,-,-
Book Value per Share(In $),EQR,34.89,34.24,35.52,-,-
Net Debt(In $M),EQR,"7,309","7,418","7,707","8,295","8,690"
Research & Development Exp.(In $M),EQR,-,-,-,-,-
Capital Expenditure(In $M),EQR,191,211,231,-,-
"Selling, General & Admin. Exp.(In $M)",EQR,60,62,64,-,-
Shareholder’s Equity(In $M),EQR,"12,474","12,339","12,679",-,-
Total Assets(In $M),EQR,"19,837","19,678","19,357",-,-
