,ticker,2023,2024,2025,2026
Revenue(In $M),USB,"28,915","29,322","30,013",-
Dividend,USB,1.94,2.00,2.10,-
Dividend Yield (in %),USB,5.12 %,5.35 %,5.91 %,-
EPS,USB,4.44,4.82,4.97,4.81
P/E Ratio,USB,6.86,6.31,6.13,6.33
EBIT(In $M),USB,"11,418","12,144","12,942",-
EBITDA(In $M),USB,-,-,-,-
Net Profit(In $M),USB,"6,769","7,421","7,360",-
Net Profit Adjusted(In $M),USB,"7,201","7,430","6,873",-
Pre-Tax Profit(In $M),USB,"9,291","9,888","9,860",-
Net Profit (Adjusted)(In $M),USB,"8,727","9,885",-,-
EPS (Non-GAAP) ex. SOE(In $),USB,4.63,4.81,4.95,-
EPS (GAAP)(In $),USB,4.44,4.82,4.97,4.81
Gross Income(In $M),USB,-,-,-,-
Cash Flow from Investing(In $M),USB,-,-,-,-
Cash Flow from Operations(In $M),USB,-,-,-,-
Cash Flow from Financing(In $M),USB,-,-,-,-
Cash Flow per Share(In $),USB,-,-,-,-
Free Cash Flow(In $M),USB,-,-,-,-
Free Cash Flow per Share(In $),USB,-,-,-,-
Book Value per Share(In $),USB,-,-,38.14,-
Net Debt(In $M),USB,-,-,-,-
Research & Development Exp.(In $M),USB,"1,670","1,767",-,-
Capital Expenditure(In $M),USB,-,-,-,-
"Selling, General & Admin. Exp.(In $M)",USB,-,-,-,-
Shareholder’s Equity(In $M),USB,"52,971","57,523","55,529",-
Total Assets(In $M),USB,"679,956","695,316",-,-
