,ticker,2023,2024,2025,2026
Revenue(In $M),WFC,"79,796","78,773","81,006",-
Dividend,WFC,1.23,1.41,1.68,-
Dividend Yield (in %),WFC,2.85 %,3.28 %,4.19 %,-
EPS,WFC,4.80,4.92,5.65,4.62
P/E Ratio,WFC,8.07,7.88,6.85,8.38
EBIT(In $M),WFC,"27,316","26,195","26,973",-
EBITDA(In $M),WFC,-,-,-,-
Net Profit(In $M),WFC,"18,322","17,579","18,771",-
Net Profit Adjusted(In $M),WFC,"18,176","17,544","18,065",-
Pre-Tax Profit(In $M),WFC,"23,077","22,498","24,573",-
Net Profit (Adjusted)(In $M),WFC,"22,695","22,692","25,672",-
EPS (Non-GAAP) ex. SOE(In $),WFC,4.72,4.88,5.62,-
EPS (GAAP)(In $),WFC,4.80,4.92,5.65,4.62
Gross Income(In $M),WFC,-,-,-,-
Cash Flow from Investing(In $M),WFC,-,-,-,-
Cash Flow from Operations(In $M),WFC,-,-,-,-
Cash Flow from Financing(In $M),WFC,-,-,-,-
Cash Flow per Share(In $),WFC,-,-,-,-
Free Cash Flow(In $M),WFC,-,-,-,-
Free Cash Flow per Share(In $),WFC,-,-,-,-
Book Value per Share(In $),WFC,-,-,51.50,-
Net Debt(In $M),WFC,-,-,-,-
Research & Development Exp.(In $M),WFC,-,-,-,-
Capital Expenditure(In $M),WFC,-,-,-,-
"Selling, General & Admin. Exp.(In $M)",WFC,-,-,-,-
Shareholder’s Equity(In $M),WFC,"178,660","181,937","186,108",-
Total Assets(In $M),WFC,"1,881,955","1,907,854","1,879,333",-
