,ticker,2023,2024,2025,2026,2027
Revenue(In $M),APA,"8,545","9,169","8,806","7,934","8,162"
Dividend,APA,1.02,1.08,1.19,-,-
Dividend Yield (in %),APA,2.96 %,3.19 %,3.54 %,-,-
EPS,APA,5.68,6.91,6.43,7.07,7.16
P/E Ratio,APA,5.69,4.67,5.02,4.57,4.51
EBIT(In $M),APA,"3,906","4,423","4,013","3,708","3,722"
EBITDA(In $M),APA,"5,402","5,910",-,"5,256","4,887"
Net Profit(In $M),APA,"1,800","2,118",-,"1,891","1,844"
Net Profit Adjusted(In $M),APA,"1,846","2,169",-,"1,891","1,844"
Pre-Tax Profit(In $M),APA,"3,600","4,098","3,738","3,360","3,263"
Net Profit (Adjusted)(In $M),APA,"3,409","3,740","3,379",-,-
EPS (Non-GAAP) ex. SOE(In $),APA,5.68,6.91,6.43,7.07,7.16
EPS (GAAP)(In $),APA,5.67,6.91,6.11,7.07,7.16
Gross Income(In $M),APA,-,-,-,-,-
Cash Flow from Investing(In $M),APA,"-2,144","-2,223","-2,306","-2,196","-2,226"
Cash Flow from Operations(In $M),APA,"3,597","3,997","3,852","4,208","4,129"
Cash Flow from Financing(In $M),APA,"-1,065",-844,-973,"-1,197","-1,201"
Cash Flow per Share(In $),APA,11.65,13.29,-,13.77,13.91
Free Cash Flow(In $M),APA,"1,504","1,640","1,367","2,545","1,081"
Free Cash Flow per Share(In $),APA,4.72,3.83,3.41,-,-
Book Value per Share(In $),APA,5.50,8.78,12.05,-,-
Net Debt(In $M),APA,"4,897","4,366","3,878",-,-
Research & Development Exp.(In $M),APA,-,-,-,-,-
Capital Expenditure(In $M),APA,"2,126","2,199","2,224","2,209","2,226"
"Selling, General & Admin. Exp.(In $M)",APA,398,389,368,299,270
Shareholder’s Equity(In $M),APA,"2,374","3,663","4,681","5,662","6,838"
Total Assets(In $M),APA,"14,127","15,612","16,772","18,200","19,336"
