,ticker,2023,2024,2025,2026
Revenue(In $M),ROP,"6,028","6,407","6,843","7,855"
Dividend,ROP,2.59,2.70,3.22,-
Dividend Yield (in %),ROP,0.61 %,0.64 %,0.77 %,-
EPS,ROP,16.29,17.54,19.39,21.45
P/E Ratio,ROP,28.06,26.06,23.57,21.31
EBIT(In $M),ROP,"1,691","1,852","2,057","2,359"
EBITDA(In $M),ROP,"2,442","2,617","2,902","3,666"
Net Profit(In $M),ROP,"1,208","1,351","1,495","1,605"
Net Profit Adjusted(In $M),ROP,"1,749","1,889",-,-
Pre-Tax Profit(In $M),ROP,"1,539","1,714","2,033",-
Net Profit (Adjusted)(In $M),ROP,"1,523","1,689","2,172",-
EPS (Non-GAAP) ex. SOE(In $),ROP,16.29,17.54,19.39,21.45
EPS (GAAP)(In $),ROP,11.25,12.54,14.03,15.00
Gross Income(In $M),ROP,"4,207","4,463","4,594","4,926"
Cash Flow from Investing(In $M),ROP,-115,-111,-85,-87
Cash Flow from Operations(In $M),ROP,"2,053","2,246","2,630","2,498"
Cash Flow from Financing(In $M),ROP,-712,-912,-927,73
Cash Flow per Share(In $),ROP,17.64,18.60,-,-
Free Cash Flow(In $M),ROP,"1,963","2,155","2,377","2,656"
Free Cash Flow per Share(In $),ROP,18.02,20.19,22.62,25.53
Book Value per Share(In $),ROP,158.52,167.50,-,-
Net Debt(In $M),ROP,"3,666","2,079","3,770","11,437"
Research & Development Exp.(In $M),ROP,-,-,-,-
Capital Expenditure(In $M),ROP,52,54,59,48
"Selling, General & Admin. Exp.(In $M)",ROP,"2,435","2,539","2,631","2,745"
Shareholder’s Equity(In $M),ROP,"17,071","18,335","18,960","20,369"
Total Assets(In $M),ROP,"27,708","28,377","29,573","31,511"
