,ticker,2023,2024,2025,2026
Revenue(In $M),DHR,"29,551","31,659","34,162","37,911"
Dividend,DHR,0.98,1.04,1.07,1.53
Dividend Yield (in %),DHR,0.44 %,0.46 %,0.47 %,0.63 %
EPS,DHR,9.46,10.47,11.58,13.74
P/E Ratio,DHR,25.89,23.39,21.14,17.81
EBIT(In $M),DHR,"8,694","9,576","10,407","11,245"
EBITDA(In $M),DHR,"9,527","10,540","11,602","13,966"
Net Profit(In $M),DHR,"7,010","7,787","8,605","9,042"
Net Profit Adjusted(In $M),DHR,"7,010","7,787","8,605","9,042"
Pre-Tax Profit(In $M),DHR,"8,561","9,406","10,275","11,078"
Net Profit (Adjusted)(In $M),DHR,"7,966","9,029","9,997",-
EPS (Non-GAAP) ex. SOE(In $),DHR,8.60,10.74,13.12,-
EPS (GAAP)(In $),DHR,8.05,9.12,10.29,11.51
Gross Income(In $M),DHR,"17,724","19,060","20,518","21,837"
Cash Flow from Investing(In $M),DHR,"-1,241","-1,269","-1,335","-1,427"
Cash Flow from Operations(In $M),DHR,"8,312","8,744","9,717","11,291"
Cash Flow from Financing(In $M),DHR,"-3,361","-3,849","-3,031",-857
Cash Flow per Share(In $),DHR,10.60,11.58,12.82,-
Free Cash Flow(In $M),DHR,"7,294","7,733","8,811","10,868"
Free Cash Flow per Share(In $),DHR,9.97,10.85,13.20,19.13
Book Value per Share(In $),DHR,75.03,81.70,87.77,-
Net Debt(In $M),DHR,"8,086","2,425","-2,628","-17,747"
Research & Development Exp.(In $M),DHR,"1,788","1,838","1,871","2,004"
Capital Expenditure(In $M),DHR,"1,170","1,232","1,275","1,224"
"Selling, General & Admin. Exp.(In $M)",DHR,"7,830","8,081","8,710","8,795"
Shareholder’s Equity(In $M),DHR,"55,337","60,687","65,384","75,355"
Total Assets(In $M),DHR,"86,387","89,223","92,972","111,766"
