,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),7209.0,7209.0,6433.0,3646.0,3008.2,DHR
Depreciation & amortisation(figures in $M),2222.0,2222.0,2168.0,1775.0,1189.5,DHR
Stock-based compensation(figures in $M),336.0,336.0,218.0,187.0,158.8,DHR
Change in working capital(figures in $M),-1519.0,-1519.0,-658.0,605.0,-123.2,DHR
Accounts receivable(figures in $M),-477.0,-477.0,-611.0,-264.0,-156.4,DHR
Inventory(figures in $M),-486.0,-486.0,-502.0,-123.0,-21.9,DHR
Accounts payable(figures in $M),5.0,5.0,549.0,227.0,18.1,DHR
Other working capital(figures in $M),7367.0,7367.0,7064.0,5417.0,3316.1,DHR
Other non-cash items(figures in $M),0.0,0.0,601.0,457.0,0.0,DHR
Net cash provided by operating activities(figures in $M),8519.0,8519.0,8358.0,6208.0,3951.6,DHR
"Investments in property, plant and equipment(figures in $M)",-1152.0,-1152.0,-1294.0,-791.0,-635.5,DHR
"Acquisitions, net(figures in $M)",-637.0,-637.0,-10961.0,-20971.0,-331.3,DHR
Purchases of investments(figures in $M),-523.0,-523.0,-934.0,-342.0,-241.0,DHR
Sales/maturities of investments(figures in $M),18.0,18.0,126.0,13.0,0.0,DHR
Other investing activities(figures in $M),51.0,51.0,37.0,24.0,28.9,DHR
Net cash used for investing activities(figures in $M),-2234.0,-2234.0,-12987.0,-21239.0,-1238.1,DHR
Debt repayment(figures in $M),-965.0,-965.0,-1282.0,-5962.0,-1571.0,DHR
Common stock issued(figures in $M),31.0,31.0,86.0,1882.0,2216.7,DHR
Dividends paid(figures in $M),-818.0,-818.0,-742.0,-615.0,-750.7,DHR
Other financing activities(figures in $M),-95.0,-95.0,-16.0,-3.0,-43.3,DHR
Net cash used provided by (used for) financing activities(figures in $M),-2570.0,-2570.0,1295.0,1006.0,16365.9,DHR
Net change in cash(figures in $M),3409.0,3409.0,-3449.0,-13877.0,19124.5,DHR
Cash at beginning of period(figures in $M),2586.0,2586.0,6035.0,19912.0,787.8,DHR
Cash at end of period(figures in $M),5995.0,5995.0,2586.0,6035.0,19912.3,DHR
Operating cash flow(figures in $M),8519.0,8519.0,8358.0,6208.0,3951.6,DHR
Capital expenditure(figures in $M),-1152.0,-1152.0,-1294.0,-791.0,-635.5,DHR
Free cash flow(figures in $M),7367.0,7367.0,7064.0,5417.0,3316.1,DHR
