,ticker,2023,2024,2025,2026,2027
Revenue(In $M),EBAY,"10,024","10,381","10,780","11,486","11,941"
Dividend,EBAY,1.00,0.94,0.90,-,-
Dividend Yield (in %),EBAY,2.32 %,2.20 %,2.13 %,-,-
EPS,EBAY,4.19,4.59,5.08,5.67,6.09
P/E Ratio,EBAY,10.71,9.76,8.82,7.90,7.36
EBIT(In $M),EBAY,"2,807","2,968","3,196","3,275","3,422"
EBITDA(In $M),EBAY,"3,237","3,450","3,560","3,856","4,075"
Net Profit(In $M),EBAY,"2,236","2,368","2,426","2,534","2,701"
Net Profit Adjusted(In $M),EBAY,"2,236","2,368","2,426","2,534","2,701"
Pre-Tax Profit(In $M),EBAY,"2,390","2,478","2,578","2,977","3,194"
Net Profit (Adjusted)(In $M),EBAY,"2,222","2,323","2,292","2,407",-
EPS (Non-GAAP) ex. SOE(In $),EBAY,3.50,3.66,4.36,4.86,5.37
EPS (GAAP)(In $),EBAY,3.26,3.57,4.04,4.93,5.32
Gross Income(In $M),EBAY,"7,260","7,554","7,857","8,310","8,656"
Cash Flow from Investing(In $M),EBAY,606,8,114,-503,-567
Cash Flow from Operations(In $M),EBAY,"3,056","2,894","3,146","3,230","3,342"
Cash Flow from Financing(In $M),EBAY,"-3,858","-2,574","-1,652",-992,"-1,065"
Cash Flow per Share(In $),EBAY,5.61,5.92,6.06,-,-
Free Cash Flow(In $M),EBAY,"2,427","2,456","2,446",-,-
Free Cash Flow per Share(In $),EBAY,4.34,4.51,4.78,-,-
Book Value per Share(In $),EBAY,9.69,11.15,13.11,-,-
Net Debt(In $M),EBAY,"5,207","4,592","2,729",-,-
Research & Development Exp.(In $M),EBAY,"1,268","1,289","1,430","1,400","1,444"
Capital Expenditure(In $M),EBAY,518,554,554,618,657
"Selling, General & Admin. Exp.(In $M)",EBAY,"3,035","3,095",-,-,-
Shareholder’s Equity(In $M),EBAY,"5,690","6,655","8,077","12,351","14,786"
Total Assets(In $M),EBAY,"20,707","21,219","22,142","24,719","26,464"
