,ticker,2023,2024,2025,2026
Revenue(In $M),SHW,"21,900","22,684","23,881","24,188"
Dividend,SHW,2.27,2.39,2.52,2.85
Dividend Yield (in %),SHW,1.13 %,1.19 %,1.33 %,1.33 %
EPS,SHW,8.70,9.95,11.29,11.15
P/E Ratio,SHW,26.64,23.31,20.54,20.79
EBIT(In $M),SHW,"3,276","3,585","3,947","3,754"
EBITDA(In $M),SHW,"3,721","4,061","4,399","4,432"
Net Profit(In $M),SHW,"2,243","2,491","2,758","2,770"
Net Profit Adjusted(In $M),SHW,"2,255","2,494","2,764","2,770"
Pre-Tax Profit(In $M),SHW,"2,786","3,143","3,503","3,552"
Net Profit (Adjusted)(In $M),SHW,"2,682","3,068","3,368","3,307"
EPS (Non-GAAP) ex. SOE(In $),SHW,8.70,9.95,11.29,11.15
EPS (GAAP)(In $),SHW,7.98,9.20,10.64,10.38
Gross Income(In $M),SHW,"9,626","10,100","10,632",-
Cash Flow from Investing(In $M),SHW,-783,-554,-458,-
Cash Flow from Operations(In $M),SHW,"3,003","2,974","3,363","4,178"
Cash Flow from Financing(In $M),SHW,"-1,745","-2,291","-2,363",-
Cash Flow per Share(In $),SHW,10.88,10.53,12.22,12.99
Free Cash Flow(In $M),SHW,"2,049","2,317","2,766","2,493"
Free Cash Flow per Share(In $),SHW,7.45,8.46,11.93,-
Book Value per Share(In $),SHW,13.50,14.68,17.45,24.20
Net Debt(In $M),SHW,"9,883","9,343","8,480","7,377"
Research & Development Exp.(In $M),SHW,-,-,-,-
Capital Expenditure(In $M),SHW,798,542,457,510
"Selling, General & Admin. Exp.(In $M)",SHW,"6,335","6,504","6,791",-
Shareholder’s Equity(In $M),SHW,"3,630","4,005","4,807","5,795"
Total Assets(In $M),SHW,"22,348","22,253","23,638",-
