,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),FTI,6700.4,6700.4,6403.5,6530.6,13409.1
Cost of revenue(figures in $M),FTI,5804.1,6503.1,6369.6,5835.8,14935.8
Gross profit(figures in $M),FTI,896.3,197.3,33.9,694.8,-1526.7
Research development(figures in $M),FTI,67.0,67.0,78.4,75.3,162.9
Selling general and administrative(figures in $M),FTI,616.8,616.8,644.9,724.1,1228.1
Total operating expenses(figures in $M),FTI,683.8,683.8,723.3,799.4,1391.0
Operating income or loss(figures in $M),FTI,212.5,197.3,33.9,-104.6,-1526.7
Interest expense(figures in $M),FTI,138.7,120.9,143.3,134.1,451.3
Total other income/expenses net(figures in $M),FTI,-22.7,-7.5,307.5,-3312.3,-157.8
Income before tax(figures in $M),FTI,68.9,68.9,198.1,-3498.7,-2135.8
Income tax expense(figures in $M),FTI,105.4,105.4,111.1,19.4,276.3
Income from continuing operations(figures in $M),FTI,-36.5,-36.5,87.0,-3518.1,-2412.1
Net income(figures in $M),FTI,-107.2,-107.2,13.3,-3287.6,-2415.2
Net income available to common shareholders(figures in $M),FTI,-107.2,-107.2,13.3,-3287.6,-2415.2
Basic EPS(figures in $M),FTI,,-2.4e-07,3e-08,-7.33e-06,-5.39e-06
Diluted EPS(figures in $M),FTI,,-2.4e-07,3e-08,-7.33e-06,-5.39e-06
Basic average shares(figures in $M),FTI,,449.5,450.5,448.7,448.0
Diluted average shares(figures in $M),FTI,,449.5,454.6,448.7,448.0
EBITDA(figures in $M),FTI,,567.0,726.8,-2952.5,-1174.9
