,ticker,2023,2024,2025,2026,2027
Revenue(In $M),FTI,"7,487","8,442","9,600","9,802","10,080"
Dividend,FTI,0.10,0.20,0.25,0.48,0.48
Dividend Yield (in %),FTI,0.54 %,1.15 %,1.97 %,3.50 %,3.50 %
EPS,FTI,0.47,1.01,1.66,2.03,2.12
P/E Ratio,FTI,28.44,13.11,8.02,6.54,6.29
EBIT(In $M),FTI,494,768,"1,129","1,333","1,367"
EBITDA(In $M),FTI,868,"1,142","1,516","1,636","1,739"
Net Profit(In $M),FTI,209,445,728,863,918
Net Profit Adjusted(In $M),FTI,209,445,728,863,918
Pre-Tax Profit(In $M),FTI,396,681,"1,043","1,226",-
Net Profit (Adjusted)(In $M),FTI,397,687,"1,066","1,226",-
EPS (Non-GAAP) ex. SOE(In $),FTI,0.47,1.01,1.66,2.03,2.12
EPS (GAAP)(In $),FTI,0.49,1.03,1.66,2.04,2.12
Gross Income(In $M),FTI,"1,278","1,562","1,912",-,-
Cash Flow from Investing(In $M),FTI,-210,-234,-222,-,-
Cash Flow from Operations(In $M),FTI,562,821,"1,150","1,235","1,278"
Cash Flow from Financing(In $M),FTI,-281,-184,-305,-,-
Cash Flow per Share(In $),FTI,1.28,1.80,2.45,2.97,-
Free Cash Flow(In $M),FTI,306,543,878,915,949
Free Cash Flow per Share(In $),FTI,0.80,1.40,2.69,-,-
Book Value per Share(In $),FTI,7.58,8.37,9.98,10.70,12.40
Net Debt(In $M),FTI,132,-261,-906,"-1,445","-2,252"
Research & Development Exp.(In $M),FTI,68,68,-,-,-
Capital Expenditure(In $M),FTI,251,278,296,320,329
"Selling, General & Admin. Exp.(In $M)",FTI,673,839,-,-,-
Shareholder’s Equity(In $M),FTI,"3,473","3,840","4,408","4,464","5,114"
Total Assets(In $M),FTI,"9,883","10,489","10,773",-,-
