,2022,2021,2020,2019,2018,ticker
Current ratio,5.532,5.073,11.055,9.860,6.985,TROW
Quick ratio,11.141,5.073,11.055,9.860,6.985,TROW
Cash ratio,3.878,2.993,7.890,7.234,5.041,TROW
Days of sales outstanding,42.118,50.350,50.757,42.010,37.338,TROW
Days of inventory outstanding,0,0,0,0,0,TROW
Operating cycle,42.118,50.350,50.757,42.010,37.338,TROW
Days of payables outstanding,50.796,52.557,26.185,32.828,37.119,TROW
Cash conversion cycle,-8.678,-2.208,24.572,9.182,0.219,TROW
Gross profit margin,0.550,0.610,0.578,0.575,0.582,TROW
Operating profit margin,0.366,0.484,0.332,0.296,0.440,TROW
Pretax profit margin,0.300,0.521,0.522,0.521,0.444,TROW
Net profit margin,0.240,0.402,0.382,0.379,0.342,TROW
Effective tax rate,0.256,0.224,0.222,0.232,0.258,TROW
Return on assets,0.134,0.246,0.223,0.228,0.239,TROW
Return on equity,0.176,0.342,0.308,0.300,0.300,TROW
Return on capital employed,0.212,0.309,0.198,0.183,0.319,TROW
Net income per EBT,0.800,0.772,0.732,0.728,0.771,TROW
Ebt per ebit,0.821,1.077,1.576,1.760,1.010,TROW
Ebit per revenue,0.366,0.484,0.332,0.296,0.440,TROW
Debt ratio,0.168,0.180,0.130,0.119,0.107,TROW
Debt equity ratio,0.075,0.028,0.020,0.021,0,TROW
Long term debt to capitalization,0.036,0.027,0.020,0.020,0,TROW
Total debt to capitalization,0.069,0.027,0.020,0.020,0,TROW
Interest coverage,7.483,-13.792,-1.990,-1.450,0,TROW
Cash flow to debt ratio,3.579,13.852,12.452,10.408,0,TROW
Company equity multiplier,1.317,1.387,1.383,1.314,1.256,TROW
Receivables turnover,8.666,7.249,7.191,8.688,9.775,TROW
Payables turnover,7.186,6.945,13.939,11.118,9.833,TROW
Inventory turnover,0,0,0,0,0,TROW
Fixed asset turnover,6.268,8.184,7.634,7.155,8.124,TROW
Asset turnover,0.557,0.613,0.582,0.602,0.699,TROW
Operating cash flow per share,10.440,15.234,8.387,6.469,6.688,TROW
Free cash flow per share,9.388,14.179,7.449,5.599,5.993,TROW
Cash per share,19.004,6.722,9.404,7.569,5.884,TROW
Payout ratio,0.711,0.552,0.356,0.344,0.378,TROW
Operating cash flow sales ratio,0.364,0.450,0.309,0.271,0.302,TROW
Free cash flow operating cash flow ratio,0.899,0.931,0.888,0.866,0.896,TROW
Cash flow coverage ratios,3.579,13.852,12.452,10.408,0,TROW
Short term coverage ratios,7.158,0,0,0,0,TROW
Capital expenditure coverage ratio,-9.930,-14.437,-8.942,-7.442,-9.614,TROW
Dividend paid and capex coverage ratio,2.713,2.360,3.040,2.877,3.081,TROW
Dividend payout ratio,0.711,0.552,0.356,0.344,0.378,TROW
Price book value ratio,2.788,4.939,4.494,4.038,3.651,TROW
Price to book ratio,2.788,4.939,4.494,4.038,3.651,TROW
Price to sales ratio,3.799,5.808,5.581,5.105,4.162,TROW
Price earnings ratio,15.821,14.453,14.599,13.457,12.169,TROW
Price to free cash flows ratio,11.616,13.869,20.324,21.759,15.406,TROW
Price to operating cash flows ratio,10.447,12.908,18.051,18.836,13.803,TROW
Price cash flow ratio,10.447,12.908,18.051,18.836,13.803,TROW
Price earnings to growth ratio,-0.322,0.460,1.022,0.707,0.551,TROW
Price sales ratio,3.799,5.808,5.581,5.105,4.162,TROW
Dividend yield,0.045,0.038,0.024,0.026,0.031,TROW
Enterprise value multiple,7.673,12.658,14.525,14.590,8.012,TROW
Price fair value,2.788,4.939,4.494,4.038,3.651,TROW
