,ticker,2023,2024,2025
Revenue(In $M),TROW,"6,307","6,532","6,988"
Dividend,TROW,4.88,5.02,5.12
Dividend Yield (in %),TROW,4.60 %,4.76 %,4.93 %
EPS,TROW,6.74,6.93,7.75
P/E Ratio,TROW,15.48,15.05,13.46
EBIT(In $M),TROW,"2,035","2,118","2,264"
EBITDA(In $M),TROW,"2,210","2,265","2,388"
Net Profit(In $M),TROW,"1,527","1,563","1,722"
Net Profit Adjusted(In $M),TROW,"1,539","1,603","1,877"
Pre-Tax Profit(In $M),TROW,"2,177","2,237","2,425"
Net Profit (Adjusted)(In $M),TROW,"2,209","2,302",-
EPS (Non-GAAP) ex. SOE(In $),TROW,6.74,6.93,7.75
EPS (GAAP)(In $),TROW,6.75,6.92,7.59
Gross Income(In $M),TROW,-,-,-
Cash Flow from Investing(In $M),TROW,-,-,-
Cash Flow from Operations(In $M),TROW,"2,281","2,360",-
Cash Flow from Financing(In $M),TROW,-,-,-
Cash Flow per Share(In $),TROW,7.74,8.11,8.53
Free Cash Flow(In $M),TROW,"2,027","2,116",-
Free Cash Flow per Share(In $),TROW,10.52,11.26,-
Book Value per Share(In $),TROW,40.45,40.76,42.17
Net Debt(In $M),TROW,"-1,616","-1,037","-1,677"
Research & Development Exp.(In $M),TROW,608,635,-
Capital Expenditure(In $M),TROW,0,0,-
"Selling, General & Admin. Exp.(In $M)",TROW,"4,204","4,144",-
Shareholder’s Equity(In $M),TROW,"7,074","6,236","10,184"
Total Assets(In $M),TROW,"12,063","12,255","13,242"
