,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),1557.9,1557.9,3082.9,2372.7,2131.3,TROW
Depreciation & amortisation(figures in $M),645.8,645.8,204.8,189.6,190.8,TROW
Stock-based compensation(figures in $M),285.4,285.4,274.6,246.2,206.6,TROW
Change in working capital(figures in $M),-139.9,-139.9,67.4,91.1,109.6,TROW
Other working capital(figures in $M),2121.8,2359.4,3212.9,1704.3,1318.1,TROW
Other non-cash items(figures in $M),-92.1,-92.1,0.0,0.0,0.0,TROW
Net cash provided by operating activities(figures in $M),2359.4,2359.4,3452.0,1918.9,1522.7,TROW
"Investments in property, plant and equipment(figures in $M)",-237.6,-237.6,-239.1,-214.6,-204.6,TROW
"Acquisitions, net(figures in $M)",0.0,0.0,-2450.8,0.0,0.0,TROW
Purchases of investments(figures in $M),-63.8,-63.8,-64.9,-326.3,-258.1,TROW
Sales/maturities of investments(figures in $M),263.6,263.6,1625.8,454.1,131.4,TROW
Other investing activities(figures in $M),-3.7,-3.7,30.9,50.5,6.8,TROW
Net cash used for investing activities(figures in $M),-41.5,-41.5,-1098.1,-36.3,-324.5,TROW
Common stock repurchased(figures in $M),-849.8,-849.8,-1138.5,-1201.9,-705.8,TROW
Dividends paid(figures in $M),-1107.4,-1107.4,-1701.9,-845.8,-733.9,TROW
Other financing activities(figures in $M),-83.5,-83.5,-66.8,557.5,523.7,TROW
Net cash used provided by (used for) financing activities(figures in $M),-2076.9,-2076.9,-2988.8,-1486.3,-832.7,TROW
Net change in cash(figures in $M),250.5,250.5,-632.3,398.2,363.0,TROW
Cash at beginning of period(figures in $M),1624.2,1624.2,2256.5,1858.3,1495.3,TROW
Cash at end of period(figures in $M),1874.7,1874.7,1624.2,2256.5,1858.3,TROW
Operating cash flow(figures in $M),2359.4,2359.4,3452.0,1918.9,1522.7,TROW
Capital expenditure(figures in $M),-237.6,-237.6,-239.1,-214.6,-204.6,TROW
Free cash flow(figures in $M),2121.8,2359.4,3212.9,1704.3,1318.1,TROW
