,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),10276.0,10276.0,9388.0,-5944.0,3348.0,AIG
Depreciation & amortisation(figures in $M),4848.0,4848.0,4633.0,4120.0,5006.0,AIG
Change in working capital(figures in $M),-11731.0,-11731.0,-1683.0,-4216.0,-10066.0,AIG
Other working capital(figures in $M),4207.0,4207.0,6279.0,1038.0,-928.0,AIG
Other non-cash items(figures in $M),303.0,303.0,389.0,8.0,-16.0,AIG
Net cash provided by operating activities(figures in $M),4207.0,4207.0,6279.0,1038.0,-928.0,AIG
"Acquisitions, net(figures in $M)",0.0,0.0,0.0,0.0,0.0,AIG
Purchases of investments(figures in $M),-44945.0,-44945.0,-79406.0,-67348.0,-63027.0,AIG
Sales/maturities of investments(figures in $M),46691.0,46691.0,73184.0,57152.0,59736.0,AIG
Other investing activities(figures in $M),-443.0,-443.0,-995.0,6.0,1503.0,AIG
Net cash used for investing activities(figures in $M),-3626.0,-3626.0,-3280.0,-6202.0,-5475.0,AIG
Debt repayment(figures in $M),-10706.0,-10706.0,-8641.0,-4706.0,-3202.0,AIG
Common stock repurchased(figures in $M),-5200.0,-5200.0,-2592.0,-500.0,0.0,AIG
Dividends paid(figures in $M),-1011.0,-1011.0,-1112.0,-1132.0,-1136.0,AIG
Other financing activities(figures in $M),6331.0,6331.0,4165.0,5072.0,6351.0,AIG
Net cash used provided by (used for) financing activities(figures in $M),-676.0,-676.0,-3735.0,5058.0,6379.0,AIG
Net change in cash(figures in $M),-211.0,-211.0,-803.0,-57.0,-8.0,AIG
Cash at beginning of period(figures in $M),2427.0,2427.0,3230.0,3287.0,3358.0,AIG
Cash at end of period(figures in $M),2216.0,2216.0,2427.0,3230.0,3287.0,AIG
Operating cash flow(figures in $M),4207.0,4207.0,6279.0,1038.0,-928.0,AIG
Free cash flow(figures in $M),4207.0,4207.0,6279.0,1038.0,-928.0,AIG
