,ticker,2023,2024,2025,2026,2027
Revenue(In $M),MRO,"6,843","7,412","7,159","6,998","6,978"
Dividend,MRO,0.40,0.44,0.49,0.40,-
Dividend Yield (in %),MRO,1.73 %,1.98 %,2.08 %,1.72 %,-
EPS,MRO,2.94,3.91,3.91,4.13,3.37
P/E Ratio,MRO,7.59,5.71,5.71,5.41,6.63
EBIT(In $M),MRO,"2,466","2,992","2,633","2,698","2,707"
EBITDA(In $M),MRO,"4,669","5,204","4,859","4,779","4,277"
Net Profit(In $M),MRO,"1,711","2,215","1,958","1,829","1,646"
Net Profit Adjusted(In $M),MRO,"1,711","2,215","1,958","1,829","1,646"
Pre-Tax Profit(In $M),MRO,"2,183","2,799","2,505","2,523","2,532"
Net Profit (Adjusted)(In $M),MRO,"2,250","2,805","2,369","2,523","2,532"
EPS (Non-GAAP) ex. SOE(In $),MRO,2.94,3.91,3.91,4.13,3.37
EPS (GAAP)(In $),MRO,2.77,3.81,3.62,3.59,3.37
Gross Income(In $M),MRO,"5,806","6,338",-,-,-
Cash Flow from Investing(In $M),MRO,"-1,966","-2,055","-2,027","-1,899","-1,879"
Cash Flow from Operations(In $M),MRO,"4,455","4,743","4,411","4,100","3,668"
Cash Flow from Financing(In $M),MRO,"-2,172","-2,018","-1,661","-1,212","-1,183"
Cash Flow per Share(In $),MRO,7.04,8.24,8.65,9.42,7.83
Free Cash Flow(In $M),MRO,"2,369","2,336","1,971","1,916",-
Free Cash Flow per Share(In $),MRO,3.59,4.69,6.03,-,-
Book Value per Share(In $),MRO,18.64,20.62,22.96,-,-
Net Debt(In $M),MRO,"5,234","4,442","4,079","4,467",-
Research & Development Exp.(In $M),MRO,-,-,-,-,-
Capital Expenditure(In $M),MRO,"1,963","2,082","2,098","2,153","1,879"
"Selling, General & Admin. Exp.(In $M)",MRO,336,336,336,-,-
Shareholder’s Equity(In $M),MRO,"11,097","11,370","11,779","11,329","11,366"
Total Assets(In $M),MRO,"19,751","20,147","20,598","23,843","25,368"
