,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),MRO,7540.0,7540.0,5601.0,3097.0,5063.0
Cost of revenue(figures in $M),MRO,3176.0,3176.0,3327.0,3467.0,3714.0
Gross profit(figures in $M),MRO,4364.0,4364.0,2274.0,-370.0,1349.0
Selling general and administrative(figures in $M),MRO,308.0,308.0,291.0,274.0,356.0
Total operating expenses(figures in $M),MRO,867.0,867.0,757.0,655.0,816.0
Operating income or loss(figures in $M),MRO,3497.0,3497.0,1517.0,-1025.0,533.0
Interest expense(figures in $M),MRO,227.0,227.0,257.0,279.0,280.0
Total other income/expenses net(figures in $M),MRO,494.0,470.0,-325.0,-184.0,103.0
Income before tax(figures in $M),MRO,3779.0,3779.0,1004.0,-1465.0,392.0
Income tax expense(figures in $M),MRO,167.0,167.0,58.0,-14.0,-88.0
Income from continuing operations(figures in $M),MRO,3612.0,3612.0,946.0,-1451.0,480.0
Net income(figures in $M),MRO,3612.0,3612.0,946.0,-1451.0,480.0
Net income available to common shareholders(figures in $M),MRO,3612.0,3612.0,946.0,-1451.0,480.0
Basic EPS(figures in $M),MRO,,5.2699999999999995e-06,1.2e-06,-1.83e-06,5.9e-07
Diluted EPS(figures in $M),MRO,,5.26e-06,1.2e-06,-1.83e-06,5.9e-07
Basic average shares(figures in $M),MRO,,685.0,787.0,792.0,810.0
Diluted average shares(figures in $M),MRO,,687.0,788.0,792.0,810.0
EBITDA(figures in $M),MRO,,3497.0,1517.0,-1025.0,533.0
