,ticker,2023,2024,2025
Revenue(In $M),BK,"17,596","17,933","18,409"
Dividend,BK,1.54,1.68,1.84
Dividend Yield (in %),BK,3.39 %,3.71 %,4.28 %
EPS,BK,-,-,5.57
P/E Ratio,BK,8.58,7.95,7.34
EBIT(In $M),BK,"5,112","5,048","5,086"
EBITDA(In $M),BK,-,-,-
Net Profit(In $M),BK,"3,833","3,850","3,925"
Net Profit Adjusted(In $M),BK,"3,814","3,831","3,955"
Pre-Tax Profit(In $M),BK,"5,124","5,079","5,207"
Net Profit (Adjusted)(In $M),BK,"5,128","5,055","5,207"
EPS (Non-GAAP) ex. SOE(In $),BK,4.82,5.18,5.64
EPS (GAAP)(In $),BK,-,-,5.57
Gross Income(In $M),BK,-,-,-
Cash Flow from Investing(In $M),BK,-,-,-
Cash Flow from Operations(In $M),BK,-,-,-
Cash Flow from Financing(In $M),BK,-,-,-
Cash Flow per Share(In $),BK,-,-,-
Free Cash Flow(In $M),BK,-,-,-
Free Cash Flow per Share(In $),BK,-,-,-
Book Value per Share(In $),BK,49.46,52.90,53.79
Net Debt(In $M),BK,-,-,-
Research & Development Exp.(In $M),BK,165,165,-
Capital Expenditure(In $M),BK,-,-,-
"Selling, General & Admin. Exp.(In $M)",BK,-,-,-
Shareholder’s Equity(In $M),BK,"41,237","40,911",-
Total Assets(In $M),BK,"412,811","412,218",-
