,2022,2021,2020,2019,2018,ticker
Current ratio,0.898,0.787,0.793,0.934,1.019,SRCL
Quick ratio,0.757,0.651,0.623,0.765,0.865,SRCL
Cash ratio,0.090,0.076,0.076,0.046,0.047,SRCL
Days of sales outstanding,55.937,57.972,51.936,60.041,62.783,SRCL
Days of inventory outstanding,0,0,0,0,0,SRCL
Operating cycle,55.937,57.972,51.936,60.041,62.783,SRCL
Days of payables outstanding,46.410,49.027,40.766,37.639,39.062,SRCL
Cash conversion cycle,9.527,8.945,11.171,22.402,23.721,SRCL
Gross profit margin,0.379,0.384,0.394,0.355,0.395,SRCL
Operating profit margin,0.057,0.027,0.056,0.033,-0.046,SRCL
Pretax profit margin,0.029,0.000,-0.021,-0.110,-0.079,SRCL
Net profit margin,0.021,-0.010,-0.021,-0.105,-0.070,SRCL
Effective tax rate,0.284,39.286,0.002,0.046,0.108,SRCL
Return on assets,0.010,-0.005,-0.010,-0.054,-0.038,SRCL
Return on equity,0.023,-0.011,-0.023,-0.148,-0.095,SRCL
Return on capital employed,0.033,0.015,0.031,0.019,-0.028,SRCL
Net income per EBT,0.710,-38.286,0.998,0.954,0.889,SRCL
Ebt per ebit,0.513,0.010,-0.375,-3.301,1.709,SRCL
Ebit per revenue,0.057,0.027,0.056,0.033,-0.046,SRCL
Debt ratio,0.545,0.561,0.564,0.637,0.598,SRCL
Debt equity ratio,0.797,0.824,0.891,1.336,1.076,SRCL
Long term debt to capitalization,0.428,0.438,0.450,0.556,0.507,SRCL
Total debt to capitalization,0.444,0.452,0.471,0.572,0.518,SRCL
Interest coverage,2.036,1.006,1.825,0.929,-1.511,SRCL
Cash flow to debt ratio,0.104,0.153,0.245,0.080,0.060,SRCL
Company equity multiplier,2.204,2.282,2.297,2.762,2.495,SRCL
Receivables turnover,6.525,6.296,7.028,6.079,5.814,SRCL
Payables turnover,7.865,7.445,8.954,9.697,9.344,SRCL
Inventory turnover,0,0,0,0,0,SRCL
Fixed asset turnover,2.427,2.507,2.509,2.683,4.689,SRCL
Asset turnover,0.507,0.484,0.479,0.514,0.540,SRCL
Operating cash flow per share,2.174,3.302,5.795,2.725,1.902,SRCL
Free cash flow per share,0.738,2.028,4.489,0.591,0.401,SRCL
Cash per share,0.608,0.606,0.583,0.381,0.394,SRCL
Payout ratio,0,0,0,0,-0.104,SRCL
Operating cash flow sales ratio,0.074,0.115,0.198,0.075,0.048,SRCL
Free cash flow operating cash flow ratio,0.340,0.614,0.775,0.217,0.211,SRCL
Cash flow coverage ratios,0.104,0.153,0.245,0.080,0.060,SRCL
Short term coverage ratios,1.720,2.833,2.992,1.241,1.391,SRCL
Capital expenditure coverage ratio,-1.514,-2.593,-4.437,-1.277,-1.267,SRCL
Dividend paid and capex coverage ratio,-1.514,-2.593,-4.437,-1.277,-1.574,SRCL
Dividend payout ratio,0,0,0,0,-0.104,SRCL
Price book value ratio,1.899,2.282,2.610,2.491,1.235,SRCL
Price to book ratio,1.899,2.282,2.610,2.491,1.235,SRCL
Price to sales ratio,1.699,2.068,2.371,1.755,0.917,SRCL
Price earnings ratio,82.051,-204.289,-113.483,-16.782,-13.060,SRCL
Price to free cash flows ratio,67.572,29.404,15.446,107.931,91.567,SRCL
Price to operating cash flows ratio,22.951,18.063,11.965,23.414,19.286,SRCL
Price cash flow ratio,22.951,18.063,11.965,23.414,19.286,SRCL
Price earnings to growth ratio,0.264,-3.894,-1.352,0.549,0.011,SRCL
Price sales ratio,1.699,2.068,2.371,1.755,0.917,SRCL
Dividend yield,0,0,0,0,0.008,SRCL
Enterprise value multiple,17.421,25.088,22.078,23.222,67.550,SRCL
Price fair value,1.899,2.282,2.610,2.491,1.235,SRCL
