,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),SRCL,2704.7,2704.7,2646.9,2675.5,3308.9
Cost of revenue(figures in $M),SRCL,1679.1,1679.1,1629.7,1622.4,2134.4
Gross profit(figures in $M),SRCL,1025.6,1025.6,1017.2,1053.1,1174.5
Selling general and administrative(figures in $M),SRCL,887.5,887.5,946.6,897.6,1055.1
Total operating expenses(figures in $M),SRCL,887.5,887.5,946.6,897.6,1055.1
Operating income or loss(figures in $M),SRCL,138.1,138.1,70.6,155.5,119.4
Interest expense(figures in $M),SRCL,75.5,75.5,71.9,81.9,118.3
Total other income/expenses net(figures in $M),SRCL,16.3,16.3,2.0,-129.6,-363.9
Income before tax(figures in $M),SRCL,78.9,78.9,0.7,-56.0,-362.8
Income tax expense(figures in $M),SRCL,22.4,22.4,27.5,-0.1,-16.8
Income from continuing operations(figures in $M),SRCL,56.5,56.5,-26.8,-55.9,-346.0
Net income(figures in $M),SRCL,56.0,56.0,-27.8,-57.3,-346.8
Net income available to common shareholders(figures in $M),SRCL,56.0,56.0,-27.8,-57.3,-346.8
Basic EPS(figures in $M),SRCL,,6.1e-07,-3e-07,-6.3e-07,-3.81e-06
Diluted EPS(figures in $M),SRCL,,6.1e-07,-3e-07,-6.3e-07,-3.81e-06
Basic average shares(figures in $M),SRCL,,92.1,91.8,91.5,91.0
Diluted average shares(figures in $M),SRCL,,92.4,91.8,91.5,91.0
EBITDA(figures in $M),SRCL,,386.9,296.5,259.4,28.3
