,ticker,2023,2024,2025
Revenue(In $M),SRCL,"2,740","2,845","3,054"
Dividend,SRCL,0.00,0.00,0.00
Dividend Yield (in %),SRCL,-,-,-
EPS,SRCL,1.93,2.35,3.08
P/E Ratio,SRCL,22.83,18.67,14.27
EBIT(In $M),SRCL,330,380,428
EBITDA(In $M),SRCL,439,494,547
Net Profit(In $M),SRCL,178,-,190
Net Profit Adjusted(In $M),SRCL,178,216,-
Pre-Tax Profit(In $M),SRCL,-,-,259
Net Profit (Adjusted)(In $M),SRCL,116,200,-
EPS (Non-GAAP) ex. SOE(In $),SRCL,1.90,2.30,-
EPS (GAAP)(In $),SRCL,0.24,1.42,-
Gross Income(In $M),SRCL,"1,061","1,122",-
Cash Flow from Investing(In $M),SRCL,-132,-136,-
Cash Flow from Operations(In $M),SRCL,325,400,-
Cash Flow from Financing(In $M),SRCL,0,0,-
Cash Flow per Share(In $),SRCL,1.04,1.04,1.04
Free Cash Flow(In $M),SRCL,193,260,-
Free Cash Flow per Share(In $),SRCL,2.04,2.70,-
Book Value per Share(In $),SRCL,34.88,42.36,50.65
Net Debt(In $M),SRCL,"1,177",850,480
Research & Development Exp.(In $M),SRCL,-,-,-
Capital Expenditure(In $M),SRCL,134,140,-
"Selling, General & Admin. Exp.(In $M)",SRCL,762,764,-
Shareholder’s Equity(In $M),SRCL,"2,531","2,689",-
Total Assets(In $M),SRCL,"5,454","5,631",-
