,ticker,2023,2024,2025,2026,2027
Revenue(In $M),RRC,"2,979","3,214","3,425","3,622","3,558"
Dividend,RRC,0.32,0.33,0.36,-,-
Dividend Yield (in %),RRC,1.32 %,1.38 %,1.47 %,-,-
EPS,RRC,2.54,3.38,4.37,4.58,4.11
P/E Ratio,RRC,9.55,7.19,5.55,5.31,5.91
EBIT(In $M),RRC,945,"1,138","1,320","1,337","1,381"
EBITDA(In $M),RRC,"1,314","1,593","1,790","1,717","1,781"
Net Profit(In $M),RRC,598,790,991,"1,000",992
Net Profit Adjusted(In $M),RRC,598,793,991,"1,000",992
Pre-Tax Profit(In $M),RRC,985,"1,009","1,271","1,290","1,288"
Net Profit (Adjusted)(In $M),RRC,"1,010","1,021","1,241","1,290","1,288"
EPS (Non-GAAP) ex. SOE(In $),RRC,2.54,3.38,4.37,4.58,4.11
EPS (GAAP)(In $),RRC,3.23,3.44,4.57,3.97,4.11
Gross Income(In $M),RRC,-,-,-,-,-
Cash Flow from Investing(In $M),RRC,-589,-612,-627,-600,-600
Cash Flow from Operations(In $M),RRC,"1,198","1,415","1,591","1,647","1,425"
Cash Flow from Financing(In $M),RRC,-255,-331,-713,-,-
Cash Flow per Share(In $),RRC,4.87,6.06,6.81,6.90,6.08
Free Cash Flow(In $M),RRC,583,815,930,995,-
Free Cash Flow per Share(In $),RRC,2.14,3.37,6.01,4.11,-
Book Value per Share(In $),RRC,14.19,16.52,19.74,-,-
Net Debt(In $M),RRC,"1,551","1,160",816,-,-
Research & Development Exp.(In $M),RRC,-,-,-,-,-
Capital Expenditure(In $M),RRC,593,614,633,710,600
"Selling, General & Admin. Exp.(In $M)",RRC,-,-,-,-,-
Shareholder’s Equity(In $M),RRC,"3,467","4,010","4,516","4,767",-
Total Assets(In $M),RRC,"7,205","7,855","8,236","9,309","10,258"
