,ticker,2023,2024,2025,2026,2027
Revenue(In $M),KMI,"18,781","20,128","20,429",-,-
Dividend,KMI,1.13,1.16,1.20,1.23,1.27
Dividend Yield (in %),KMI,6.69 %,6.91 %,7.12 %,6.57 %,7.50 %
EPS,KMI,1.10,1.19,1.23,1.45,1.52
P/E Ratio,KMI,15.16,14.01,13.57,11.48,10.95
EBIT(In $M),KMI,"4,744","4,970","5,115",-,-
EBITDA(In $M),KMI,"7,680","7,939","8,065","8,328","8,428"
Net Profit(In $M),KMI,"2,520","2,689","2,803","3,233","3,355"
Net Profit Adjusted(In $M),KMI,"2,526","2,707","2,836","3,233","3,355"
Pre-Tax Profit(In $M),KMI,"3,228","3,450","3,684",-,-
Net Profit (Adjusted)(In $M),KMI,"3,269","3,487","3,831",-,-
EPS (Non-GAAP) ex. SOE(In $),KMI,1.10,1.19,1.25,1.45,1.52
EPS (GAAP)(In $),KMI,1.11,1.20,1.30,-,-
Gross Income(In $M),KMI,"7,451","7,552","7,756",-,-
Cash Flow from Investing(In $M),KMI,"-2,910","-2,097","-2,345",-,-
Cash Flow from Operations(In $M),KMI,"5,477","5,699","5,623",-,-
Cash Flow from Financing(In $M),KMI,"-3,019","-3,408","-2,869",-,-
Cash Flow per Share(In $),KMI,2.17,2.26,2.26,-,-
Free Cash Flow(In $M),KMI,"2,618","3,380","3,708","3,872","3,942"
Free Cash Flow per Share(In $),KMI,1.34,1.78,1.77,1.55,1.64
Book Value per Share(In $),KMI,13.58,13.52,13.47,-,-
Net Debt(In $M),KMI,"31,220","31,233","31,043",-,-
Research & Development Exp.(In $M),KMI,-,-,-,-,-
Capital Expenditure(In $M),KMI,"2,172","1,710","1,597","1,686","1,691"
"Selling, General & Admin. Exp.(In $M)",KMI,732,742,765,-,-
Shareholder’s Equity(In $M),KMI,"30,567","29,934","28,601",-,-
Total Assets(In $M),KMI,"68,946","68,758","66,867",-,-
