,ticker,2023,2024,2025
Revenue(In $M),AIZ,"10,605","11,012","11,267"
Dividend,AIZ,2.82,2.92,3.10
Dividend Yield (in %),AIZ,2.49 %,2.58 %,2.73 %
EPS,AIZ,11.61,13.96,16.28
P/E Ratio,AIZ,11.25,9.35,8.02
EBIT(In $M),AIZ,536,651,-
EBITDA(In $M),AIZ,"1,137","1,252",-
Net Profit(In $M),AIZ,615,729,921
Net Profit Adjusted(In $M),AIZ,615,729,921
Pre-Tax Profit(In $M),AIZ,727,890,"1,043"
Net Profit (Adjusted)(In $M),AIZ,837,903,-
EPS (Non-GAAP) ex. SOE(In $),AIZ,11.61,13.96,16.28
EPS (GAAP)(In $),AIZ,9.88,13.33,18.24
Gross Income(In $M),AIZ,-,-,-
Cash Flow from Investing(In $M),AIZ,-,-,-
Cash Flow from Operations(In $M),AIZ,-,-,-
Cash Flow from Financing(In $M),AIZ,-,-,-
Cash Flow per Share(In $),AIZ,-,-,-
Free Cash Flow(In $M),AIZ,-,-,-
Free Cash Flow per Share(In $),AIZ,-,-,-
Book Value per Share(In $),AIZ,93.16,104.17,108.06
Net Debt(In $M),AIZ,"2,129","2,129",-
Research & Development Exp.(In $M),AIZ,-,-,-
Capital Expenditure(In $M),AIZ,-,-,-
"Selling, General & Admin. Exp.(In $M)",AIZ,"7,318","7,624",-
Shareholder’s Equity(In $M),AIZ,"5,185","5,678","6,386"
Total Assets(In $M),AIZ,"34,848","36,103",-
