,2022,2021,2020,2019,2018,ticker
Current ratio,10.880,6.419,6.702,7.253,10.204,DHI
Quick ratio,1.120,1.043,1.312,0.896,1.263,DHI
Cash ratio,0.960,0.948,1.204,0.781,1.263,DHI
Days of sales outstanding,4.613,4.228,4.877,4.523,0,DHI
Days of inventory outstanding,344.027,302.267,290.548,300.121,306.029,DHI
Operating cycle,348.640,306.495,295.425,304.644,306.029,DHI
Days of payables outstanding,21.610,21.589,21.380,16.866,18.391,DHI
Cash conversion cycle,327.030,284.906,274.045,287.778,287.638,DHI
Gross profit margin,0.314,0.284,0.243,0.220,0.228,DHI
Operating profit margin,0.227,0.192,0.139,0.113,0.124,DHI
Pretax profit margin,0.228,0.193,0.147,0.121,0.128,DHI
Net profit margin,0.175,0.150,0.117,0.092,0.091,DHI
Effective tax rate,0.227,0.218,0.202,0.238,0.290,DHI
Return on assets,0.193,0.174,0.126,0.104,0.103,DHI
Return on equity,0.302,0.281,0.200,0.162,0.163,DHI
Return on capital employed,0.274,0.258,0.173,0.145,0.154,DHI
Net income per EBT,0.768,0.780,0.796,0.762,0.709,DHI
Ebt per ebit,1.005,1.006,1.054,1.070,1.034,DHI
Ebit per revenue,0.227,0.192,0.139,0.113,0.124,DHI
Debt ratio,0.348,0.366,0.359,0.340,0.351,DHI
Debt equity ratio,0.628,0.364,0.362,0.339,0.357,DHI
Long term debt to capitalization,0.240,0.267,0.266,0.253,0.263,DHI
Total debt to capitalization,0.386,0.267,0.266,0.253,0.263,DHI
Interest coverage,0,-295.717,-19.441,-14.223,0,DHI
Cash flow to debt ratio,0.046,0.099,0.332,0.262,0.170,DHI
Company equity multiplier,1.565,1.613,1.597,1.557,1.571,DHI
Receivables turnover,79.130,86.336,74.838,80.701,0,DHI
Payables turnover,16.890,16.907,17.072,21.642,19.846,DHI
Inventory turnover,1.061,1.208,1.256,1.216,1.193,DHI
Fixed asset turnover,219.110,242.358,29.708,38.063,40.060,DHI
Asset turnover,1.103,1.156,1.074,1.127,1.138,DHI
Operating cash flow per share,1.556,1.480,3.889,2.394,1.448,DHI
Free cash flow per share,1.145,0.739,3.105,1.793,1.267,DHI
Cash per share,7.035,8.891,8.259,4.010,3.912,DHI
Payout ratio,0.054,0.069,0.108,0.138,0.129,DHI
Operating cash flow sales ratio,0.017,0.019,0.070,0.051,0.034,DHI
Free cash flow operating cash flow ratio,0.736,0.500,0.798,0.749,0.875,DHI
Cash flow coverage ratios,0.046,0.099,0.332,0.262,0.170,DHI
Short term coverage ratios,0.093,0,0,0,0,DHI
Capital expenditure coverage ratio,-3.791,-1.999,-4.957,-3.981,2.448,DHI
Dividend paid and capex coverage ratio,3.338,24.402,-46.156,-1.274 K,1.326,DHI
Dividend payout ratio,0.054,0.069,0.108,0.138,0.129,DHI
Price book value ratio,1.254,2.037,2.335,1.960,1.770,DHI
Price to book ratio,1.254,2.037,2.335,1.960,1.770,DHI
Price to sales ratio,0.726,1.092,1.361,1.116,0.990,DHI
Price earnings ratio,4.152,7.261,11.645,12.135,10.888,DHI
Price to free cash flows ratio,58.801,113.564,24.359,29.401,33.326,DHI
Price to operating cash flows ratio,43.290,56.739,19.445,22.015,29.164,DHI
Price cash flow ratio,43.290,56.739,19.445,22.015,29.164,DHI
Price earnings to growth ratio,0.103,0.093,0.235,1.024,0.272,DHI
Price sales ratio,0.726,1.092,1.361,1.116,0.990,DHI
Dividend yield,0.013,0.010,0.009,0.011,0.012,DHI
Enterprise value multiple,3.635,6.026,9.930,10.471,8.315,DHI
Price fair value,1.254,2.037,2.335,1.960,1.770,DHI
