,ticker,2023,2024,2025
Revenue(In $M),DHI,"31,886","31,801","33,486"
Dividend,DHI,1.00,1.03,1.06
Dividend Yield (in %),DHI,1.02 %,1.05 %,1.08 %
EPS,DHI,11.04,11.30,11.98
P/E Ratio,DHI,9.72,9.49,8.96
EBIT(In $M),DHI,"5,054","4,755","5,316"
EBITDA(In $M),DHI,"5,127","4,983","5,498"
Net Profit(In $M),DHI,"3,828","3,754","3,976"
Net Profit Adjusted(In $M),DHI,"3,855","3,816","4,339"
Pre-Tax Profit(In $M),DHI,"5,071","4,980","5,295"
Net Profit (Adjusted)(In $M),DHI,"5,044","4,988","5,416"
EPS (Non-GAAP) ex. SOE(In $),DHI,11.25,11.71,11.87
EPS (GAAP)(In $),DHI,11.04,11.30,11.98
Gross Income(In $M),DHI,"7,160","7,279",-
Cash Flow from Investing(In $M),DHI,-220,-148,-
Cash Flow from Operations(In $M),DHI,"3,202","2,573","2,003"
Cash Flow from Financing(In $M),DHI,"-1,996","-1,609",-
Cash Flow per Share(In $),DHI,12.70,8.28,12.93
Free Cash Flow(In $M),DHI,"3,813","2,631","2,451"
Free Cash Flow per Share(In $),DHI,9.85,8.16,-
Book Value per Share(In $),DHI,64.26,73.69,85.67
Net Debt(In $M),DHI,"1,397","1,013","3,905"
Research & Development Exp.(In $M),DHI,-,-,-
Capital Expenditure(In $M),DHI,150,146,148
"Selling, General & Admin. Exp.(In $M)",DHI,"2,403","2,479",-
Shareholder’s Equity(In $M),DHI,"22,028","24,577","28,319"
Total Assets(In $M),DHI,"32,266","35,635","39,711"
