,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),CMG,8634.652,8634.652,7547.061,5984.634,5586.369
Cost of revenue(figures in $M),CMG,6572.533,6572.533,5840.052,4943.553,4443.879
Gross profit(figures in $M),CMG,2062.119,2062.119,1707.009,1041.081,1142.49
Selling general and administrative(figures in $M),CMG,564.191,564.191,606.854,466.291,451.552
Total operating expenses(figures in $M),CMG,880.577,880.577,882.775,720.34,675.438
Operating income or loss(figures in $M),CMG,1181.542,1181.542,824.234,320.741,467.052
Total other income/expenses net(figures in $M),CMG,-21.139,-21.139,-19.291,-30.577,-23.094
Income before tax(figures in $M),CMG,1181.531,1181.531,812.763,293.781,458.285
Income tax expense(figures in $M),CMG,282.43,282.43,159.779,-61.985,108.127
Income from continuing operations(figures in $M),CMG,899.101,899.101,652.984,355.766,350.158
Net income(figures in $M),CMG,899.101,899.101,652.984,355.766,350.158
Net income available to common shareholders(figures in $M),CMG,899.101,899.101,652.984,355.766,350.158
Basic EPS(figures in $M),CMG,,,2.321e-05,1.274e-05,1.262e-05
Diluted EPS(figures in $M),CMG,,,2.2899999999999998e-05,1.252e-05,1.238e-05
Basic average shares(figures in $M),CMG,,,28.132,27.917,27.74
Diluted average shares(figures in $M),CMG,,,28.511,28.416,28.295
EBITDA(figures in $M),CMG,,1468.368,1078.891,743.813,843.782
