,2015,2014,2013,2012,2011,ticker
Current ratio,0.476,0.688,1.121,1.423,0.782,TE
Quick ratio,0.030,0.034,0.256,0.356,0.054,TE
Cash ratio,0.020,0.023,0.242,0.333,0.043,TE
Days of sales outstanding,0.306,0.341,0.166,0.560,0.098,TE
Days of inventory outstanding,35.746 K,22.766 K,4.590 K,193.332,12.746 K,TE
Operating cycle,35.747 K,22.766 K,4.590 K,193.893,12.746 K,TE
Days of payables outstanding,30.071 K,24.497 K,4.135 K,548.206,36.836 K,TE
Cash conversion cycle,5.675 K,-1.731 K,455.231,-354.314,-24.090 K,TE
Gross profit margin,0.999,0.998,0.992,0.948,0.999,TE
Operating profit margin,0.205,0.197,0.163,0.186,0.186,TE
Pretax profit margin,0.145,0.135,0.108,0.082,0.082,TE
Net profit margin,0.063,0.051,0.069,0.071,0.082,TE
Effective tax rate,0.392,0.402,0.355,0.560,0.565,TE
Return on assets,0.019,0.015,0.027,0.029,0.037,TE
Return on equity,0.068,0.051,0.085,0.093,0.120,TE
Return on capital employed,0.072,0.066,0.069,0.082,0.099,TE
Net income per EBT,0.438,0.378,0.645,0.865,1.000,TE
Ebt per ebit,0.705,0.683,0.661,0.442,0.438,TE
Ebit per revenue,0.205,0.197,0.163,0.186,0.186,TE
Debt ratio,0.714,0.705,0.687,0.688,0.690,TE
Debt equity ratio,1.505,1.409,1.252,1.297,1.356,TE
Long term debt to capitalization,0.579,0.566,0.549,0.565,0.542,TE
Total debt to capitalization,0.601,0.585,0.556,0.565,0.576,TE
Interest coverage,3.016,2.954,2.778,3.033,3.031,TE
Cash flow to debt ratio,0.158,0.183,0.225,0.255,0.245,TE
Company equity multiplier,3.502,3.389,3.191,3.210,3.230,TE
Receivables turnover,1.193 K,1.069 K,2.193 K,651.435,3.715 K,TE
Payables turnover,0.012,0.015,0.088,0.666,0.010,TE
Inventory turnover,0.010,0.016,0.080,1.888,0.029,TE
Fixed asset turnover,0.367,0.362,0.462,0.500,0.560,TE
Asset turnover,0.306,0.294,0.383,0.407,0.457,TE
Operating cash flow per share,2.615,2.980,3.063,3.531,3.530,TE
Free cash flow per share,-0.558,-0.222,0.587,1.174,1.404,TE
Cash per share,0.145,0.154,0.907,0.978,0.253,TE
Payout ratio,1.220,1.528,0.967,0.895,0.672,TE
Operating cash flow sales ratio,0.222,0.259,0.231,0.253,0.226,TE
Free cash flow operating cash flow ratio,-0.213,-0.074,0.192,0.332,0.398,TE
Cash flow coverage ratios,0.158,0.183,0.225,0.255,0.245,TE
Short term coverage ratios,1.829,2.422,7.906,0,1.953,TE
Capital expenditure coverage ratio,-0.824,-0.931,-1.237,-1.498,-1.661,TE
Dividend paid and capex coverage ratio,-1.155,-1.291,-1.930,-2.405,-2.784,TE
Dividend payout ratio,1.220,1.528,0.967,0.895,0.672,TE
Price book value ratio,2.428,1.775,1.588,1.567,1.804,TE
Price to book ratio,2.428,1.775,1.588,1.567,1.804,TE
Price to sales ratio,2.264,1.781,1.300,1.199,1.223,TE
Price earnings ratio,35.805,35.056,18.749,16.886,14.997,TE
Price to free cash flows ratio,-47.749,-92.350,29.371,14.275,13.628,TE
Price to operating cash flows ratio,10.190,6.876,5.628,4.746,5.421,TE
Price cash flow ratio,10.190,6.876,5.628,4.746,5.421,TE
Price earnings to growth ratio,1.309,-0.962,-2.549,-0.760,1.282,TE
Price sales ratio,2.264,1.781,1.300,1.199,1.223,TE
Dividend yield,0.034,0.044,0.052,0.053,0.045,TE
Enterprise value multiple,8.266,7.448,8.023,7.360,7.444,TE
Price fair value,2.428,1.775,1.588,1.567,1.804,TE
