,ticker,2023,2024,2025,2026
Revenue(In $M),KMX,"29,989","26,855","28,551","31,659"
Dividend,KMX,0.00,0.00,0.00,-
Dividend Yield (in %),KMX,-,-,-,-
EPS,KMX,-,2.44,3.51,4.18
P/E Ratio,KMX,23.49,29.00,20.21,16.94
EBIT(In $M),KMX,703,597,791,937
EBITDA(In $M),KMX,953,852,"1,053","1,209"
Net Profit(In $M),KMX,440,378,527,621
Net Profit Adjusted(In $M),KMX,435,386,519,603
Pre-Tax Profit(In $M),KMX,585,497,696,820
Net Profit (Adjusted)(In $M),KMX,544,459,681,808
EPS (Non-GAAP) ex. SOE(In $),KMX,-,2.37,3.43,4.18
EPS (GAAP)(In $),KMX,2.73,2.39,3.41,3.91
Gross Income(In $M),KMX,-,"2,725","2,973","3,359"
Cash Flow from Investing(In $M),KMX,-412,-,-,-
Cash Flow from Operations(In $M),KMX,"2,316",296,314,21
Cash Flow from Financing(In $M),KMX,-277,-642,-23,459
Cash Flow per Share(In $),KMX,9.05,6.04,1.62,1.07
Free Cash Flow(In $M),KMX,"1,476",-52,-13,-178
Free Cash Flow per Share(In $),KMX,-,-,-,-
Book Value per Share(In $),KMX,29.25,31.66,33.28,35.32
Net Debt(In $M),KMX,"1,597","1,546","1,686","1,825"
Research & Development Exp.(In $M),KMX,-,-,-,-
Capital Expenditure(In $M),KMX,445,441,409,408
"Selling, General & Admin. Exp.(In $M)",KMX,"2,481","2,444","2,519","2,761"
Shareholder’s Equity(In $M),KMX,"5,387","5,815","5,906","5,906"
Total Assets(In $M),KMX,"26,460","26,672","27,801","28,092"
